company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,founder3,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Insense,Advertising,Shopping,New Delhi,Delhi,Insense is a targeted advertising network that distributes card linked offers to potential customers based on their shopping habits,110048,—,Jun-15,www.insenseanalytics.com,1,Paras Malhotra,,,Nov-50,2,Seed,"Aug 20, 2017",—,Seed,—,LetsVenture,SucSEED Venture Partners,Augment Ventures,,,3
Egnify Technologies,Analytics,E-Learning,Hyderabad,Andhra Pradesh,Egnify Technologies is a cloud-based Assessment and Learning Analytics platform,500032,—,2015,www.egnify.com/,1,Kiran Babu,,,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Xseed Partners,,,,,1
SunwizTech India,Mobile,,Bangalore,Karnataka,SunwizTech India is a mobile applications based on android,560062,—,2015,www.sunwiztech.com/,1,Sreenivas P,,,01-Oct,1,Seed,"Aug 11, 2015","$ 23,000.00",Seed,"$ 23,000.00",,,,,,—
Tabono,Sports,,Gurgaon,Haryana,Tabono is a one stop environment for all your fitness solution.,—,—,2014,tabonosports.in/,1,Abhishek Mishra,,,01-Oct,1,Seed,"Dec 7, 2018",—,Seed,—,Inflection Point Ventures,,,,,1
Scalend,Artificial Intelligence (AI),Business Information Systems,Bangalore,Karnataka,Scalend is a software platform that focuses on generating data-driven insights to increase e-commerce conversions.,—,Less than $1M,2015,www.scalend.com/,1,Srikanth Parthasarath,,,Nov-50,1,Seed,"Apr 10, 2017",—,Seed,—,Startupbootcamp FinTech Singapore,,,,,1
ThingsMeet Solutions Private Limited,Health Care,Information Technology,Pune,Maharashtra,ThingsMeet develops innovative solution in digital health space leveraging wireless sensors,411045,—,"Aug 26, 2015",www.thingsmeet.com,1,Neeraj Joshi,,,01-Oct,1,Seed,"May 2, 2016",—,Seed,—,Ankush Mehta,,,,,1
Seenit.in,Fashion,Internet,Kolkata,West Bengal,SeenIt is way of changing the way people shop for the products they love.,700017,—,2015,www.seenit.in/,3,Ankita Sancheti Kumar,Saksham Karwal,Vedanta Kumar,Nov-50,2,Seed,"Feb 28, 2017",—,Seed,—,Axilor Ventures,Calcutta Angels,Augment Ventures,,,3
Appriffy,E-Commerce,Information Technology,Bengaluru,Karnataka,"Appriffy - Digital IT Hub is a #marketplace where we can hire #developers, On-Hourly, On-Demand and On-Project Basis.",560070,—,"Jan 1, 2015",www.appriffy.com,3,Apurva Gupta,Muzafar Hussain,Santosh Sn,Nov-50,1,Seed,"Nov 24, 2018",—,Pre-Seed,—,Abdulla Aldarmaki,,,,,1
Saucery,Food and Beverage,Food Delivery,Mumbai,Maharashtra,"Saucery provides freshly made international artisan sauces, dips, and spreads.",—,—,2015,saucery.in,1,Gayatri Bhatia,,,Nov-50,1,Seed,"Jun 1, 2018",—,Angel,—,,,,,,—
ten3T,Health Care,Medical,Bangalore,Karnataka,ten3T is a medical grade wearable device startup.,560037,$1M to $10M,2014,ten3thealth.com/,3,Prasad Bhat,Rahul Shingrani,Sudhir Borgonha,01-Oct,2,Seed,"Apr 1, 2019",—,Seed,—,ITI Growth Opportunities Fund,Pi Ventures,Bhupen Shah,V. Krishna Prasad,,4
Dipper,Freight Service,Logistics,New Delhi,Delhi,Digital Ecosystem for freight logistics,110026,Less than $1M,2015,www.usedipper.com/,2,Ayush Syal,Suryansh Jalan,,01-Oct,1,M&A,"Jun 21, 2016",—,Angel,—,,,,,,—
Krishi Star,Agriculture,Food and Beverage,Mumbai,Maharashtra,A social enterprise with the vision to bring scaled economic transformation for small farmers in India.,400 015,—,2014,krishistar.com/,1,Bryan Lee,,,01-Oct,1,Seed,"Aug 26, 2016",—,Seed,—,Rianta Capital,Upaya Social Ventures,1to4 Foundation,,,3
Truphe,Agriculture,E-Commerce,Noida,Uttar Pradesh,Truphe offers gardening products suitable for needs of a agriculturist to a small home garden owner.,201301,—,2015,truphe.com/,—,,,,—,1,—,"Jan 31, 2022",—,Venture - Series Unknown,—,UpScalio,,,,,1
Loanzen,Finance,Financial Services,Bangalore,Karnataka,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,560102,—,2015,loanzen.in/,2,Madhu Sudhan,Venkatesh Sankararaman,,01-Oct,3,—,"Nov 24, 2019",—,Venture - Series Unknown,—,Zephyr Peacock India,Kae Capital,Tracxn labs,,,3
NewsPlus,Content Syndication,News,Hyderabad,Andhra Pradesh,NewsPlus is an online news aggregator. Features bit-sized news & videos on multiple topics.,—,$1M to $10M,Aug-15,www.newsplusapp.com/,2,Srini Koppolu,Vasudeva Varma,,Nov-50,2,Seed,"Jul 20, 2018",—,Seed,—,SOSV,Orbit Startups,MOX (now Orbit Startups),Anthill Studio,,4
Omix Labs,Biotechnology,Health Care,Bengaluru,Karnataka,Omix Labs develops a molecular diagnostics platform.,560100,—,2015,www.omixdx.com/,2,Abhinanda Sarkar,Sudeshna Adak,,Nov-50,1,Seed,"Dec 18, 2018",—,Seed,—,Menterra Venture Advisors,,,,,1
UACTIV,Fitness,Social Network,Mumbai,Maharashtra,A mobile-first social networking and discovery platform for sport and fitness enthusiasts.,400006,Less than $1M,2015,uactiv.com/,2,Atish Chhabria,Bhavik Mehta,,Nov-50,2,Seed,"Oct 30, 2018",—,Seed,—,Hinduja Group,thinQbate,,,,2
Urban Tailor,Consumer,Professional Services,Bangalore,Karnataka,Urban Tailor offers the modern day woman an unparalleled made-to-measure online tailoring service.,—,$1M to $10M,2015,urbantailor.in/,3,Ashish Singhal,Lavanya Venkatraman,Vasudevan Thrikkazhipuram,Nov-50,2,—,"Jul 13, 2016",—,Venture - Series Unknown,—,Unitus Ventures,B. S. Nagesh,,,,2
Snapshopr,Brand Marketing,Retail,Bangalore,Karnataka,Snapshopr is a visual intelligence platform designed for brands and retailers,—,$1M to $10M,"Jun 2, 2014",snapshopr.co/,3,Debashish Pattnaik,Navneet Sharma,Vivek Gandhi,01-Oct,2,Seed,"Jan 14, 2016",—,Angel,—,Amod Malviya,Pallav Nadhani,Apurva Dalal,Bikash Barai,Navneet Sharma,8
Civilsdaily,Content,Education,New Delhi,Delhi,"Understand news with context via crisp, connected flashcards & rich infographic explainers.",—,$1M to $10M,2015,www.civilsdaily.com/,1,Shikhar Sachan,,,01-Oct,1,Seed,"Mar 4, 2016",—,Seed,—,Manoj Kumar,,,,,1
Eckovation,Education,Mobile,New Delhi,Delhi,Eckovation is the provider of a social learning application.,110049,—,"May 19, 2015",www.eckovation.com/,2,Akshat Goel,Ritesh Singh,,51-100,1,Seed,"Jan 15, 2016",—,Seed,—,Chandigarh Angels Network,,,,,1
Happy Soul,Food and Beverage,Organic,Anjuna,Goa,Happy Soul is a natural and organic food products company.,—,$1M to $10M,2015,happysoul.in,—,,,,Nov-50,1,Seed,"Apr 5, 2022",—,Seed,—,Cap70,,,,,1
The Postbox,E-Commerce,Fashion,Chennai,Tamil Nadu,The Postbox is a E-Commerce Startup,—,Less than $1M,2015,www.thepostbox.in/,1,Nikhil Joseph,,,01-Oct,1,Seed,"Dec 28, 2016",—,Angel,—,The Chennai Angels,Aruna Ganesh Ram Ram,Ritesh Mehta,,,3
Nearpark,Mobile,,Bengaluru,Karnataka,Predictive On-Demand P2P & AirBnB for Parking,—,—,2015,www.nearpark.com/,2,K Yuvaraj Sekhar,Vinod Ponmanadiyil,,01-Oct,1,Seed,"Jan 1, 2017",—,Seed,—,Auto Nebula Capital Advisers Private Limited,,,,,1
MyCuteOffice,Business Intelligence,Events,Mumbai,Maharashtra,MyCuteOffice is Helping businesses save on rental costs by creating a sharing offices .,400067,—,2014,mycuteoffice.com/,1,Abhishek Barari,,,01-Oct,1,Seed,"May 13, 2015",—,Seed,—,Lead Angels Network,,,,,1
Pascati,Food and Beverage,,Mumbai,Maharashtra,Pascati is a handful of chocolatiers in the world that controls every step of fine chocolate making.,400056,—,2015,www.pascati.com/,1,Devansh Ashar,,,01-Oct,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,White Unicorn Ventures,,,,,1
Cognosia,EdTech,Education,Hyderabad,Andhra Pradesh,Cognosia is an online cognitive skill development Edtech platform.,500084,—,2014,cognosia.com/,—,,,,Nov-50,1,—,"Jan 1, 2023",—,Venture - Series Unknown,—,Pontaq,,,,,1
TutAR,Education,,Kochi,Kerala,TutAR provides you with an AR platform to help you take enhanced learning sessions with your students using awesome visuals.,—,—,2015,tutar.app,—,,,,01-Oct,1,Seed,"Apr 2, 2022",—,Seed,—,APRIL Ventures,Alex Roy Rajan,,,,2
Bluesinq,Internet of Things,Product Design,Taramani,Tamil Nadu,Bluesinq is a technology start-up developing IoT products for home automation.,600113,—,2015,www.bluesinq.com/,3,Deepak Chanchal,Pavan Baduru,Rohit Komaragunta,01-Oct,1,Seed,"Jun 1, 2019",—,Seed,—,Brigade Real Estate Accelerator Program (REAP),,,,,1
Sendd,Customer Service,Internet,Mumbai,Maharashtra,Enabling logistics via technology.,400063,—,2015,sendd.co,2,Nav Agrawal,Sumeet Wadhwa,,Nov-50,1,M&A,"Apr 1, 2015",—,Seed,—,Kae Capital,,,,,1
Paintcollar,Art,E-Commerce,Mumbai,Maharashtra,Paintcollar is a Marketplace For Designer Merchandise.,400072,$1M to $10M,"Jul 28, 2014",paintcollar.com/,3,Amogh Vaishampayan,Deepak Yadav,Shantanu Mahajan,Nov-50,2,Seed,"Jun 17, 2016",—,Seed,—,Santosh Shetty,Apurva Agarwal,,,,2
Bempu Health,Health Care,Medical Device,Bengaluru,Karnataka,Bempu offers innovative products that help newborns survive.,560001,—,2014,bempu.com/,1,Ratul Narain,,,Nov-50,1,Seed,"Aug 28, 2014",—,Pre-Seed,—,,,,,,—
AirOk,Pollution Control,,Chennai,Tamil Nadu,AirOk is a monumental leap in Air purification technology company,600036,—,2014,airoktech.com/,1,PAVAN Reddy Yasa,,,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Ncubate Capital Partners,,,,,1
GetVu,Information Technology,Innovation Management,Coimbatore,Tamil Nadu,GetVu is a solutions provider on a mission to drive innovation through the rapidly emerging technologies of augmented reality.,—,Less than $1M,2014,www.getvu.net,1,Rakesh Ramaswamy,,,01-Oct,1,Seed,"Jan 21, 2014","$ 25,000.00",Pre-Seed,"$ 25,000.00",SOSV,LEAP Axlr8r,,,,2
Vaya Finserv,Finance,Financial Services,Hyderabad,Andhra Pradesh,Vaya Finserv is a next generation microfinance company.,—,—,"Jan 1, 2014",www.vayaindia.com/,1,Jagadish Ramadugu,,,101-250,1,Seed,"Dec 14, 2014",—,Angel,—,,,,,,—
Gudgudee,Graphic Design,Product Design,Thane,Maharashtra,Gudgudee is a product and space design studio.,—,—,2014,www.gudgudee.in/,2,Aditi Agrawal,Anjali Menon,,01-Oct,1,Seed,"May 20, 2016",—,Seed,—,AIM Smart City,,,,,1
Zyppys,Automotive,Rental,Hyderabad,Andhra Pradesh,Zyppys is a car rental platform that allows customer to compare and rent a car from car rental companies.,—,—,"Jan 1, 2015",zyppys.com/,2,Madhu Raghunayakula,Rajani Kanigiri Kasu,,Nov-50,1,Seed,"Dec 25, 2019",—,Seed,—,Vinod Koppurapu,Srinivasa Kalapala,,,,2
Awakey,Consumer Electronics,Consumer Goods,Jaipur,Rajasthan,"Awakey is the digital cylinder series, helps you to easily go digital. It can replace any euro cylinder that is installed in a handle lock.",—,—,2015,awakey.in/,1,Ankit Jain,,,01-Oct,1,Seed,"Nov 18, 2016",—,Pre-Seed,—,World Startup Factory,,,,,1
Zolt Energy,Energy,Energy Efficiency,Gurgaon,Haryana,Direct to Home Solar. Switch. Save. Smile.,122015,$1M to $10M,"Sep 1, 2014",www.zoltenergy.co/,3,Abhishek Dabas,Harsha Yadav,Pradeep Palelli,01-Oct,1,Seed,"Feb 26, 2016",—,Seed,—,,,,,,—
iServe Financial,Banking,Financial Services,Pune,Maharashtra,An online and offline customised financial services & solutions business,411001,—,2014,www.iservefinancial.com/,4,Dipak Samanta,Krishna Iyer,Rahul Bhaik,51-100,1,Seed,"Jul 19, 2016",—,Seed,—,,,,,,—
Citizengage,Business Information Systems,Communities,Bangalore,Karnataka,Citizengage  helps communities and businesses maintain value of their waste at source.,—,$1M to $10M,2015,citizengage.co/,2,Ashish Malayil,Pronita Saxena,,Nov-50,1,Seed,"Jan 1, 2016",—,Seed,—,,,,,,—
GetLook,Beauty,Fitness,Bangalore,Karnataka,GetLook is a beauty service provider at home,560035,Less than $1M,2015,www.getlook.in,3,Gaurav Maheshwari,Ronak Sharda,Vatsala Kothari,01-Oct,1,Seed,"Aug 17, 2015",—,Angel,—,,,,,,—
SynThera Biomedical,Biotechnology,Manufacturing,Pune,Maharashtra,"SynThera Biomedical is a company which indigenously research, develop, manufacture and commercialize bioactive.",411008,$1M to $10M,2015,synthera.in/,1,Nilay Lakhkar,,,01-Oct,1,Seed,"Jul 9, 2018",—,Seed,—,1Crowd,Biotechnology Industry Research Assistance Council(BIRAC),,,,2
BOOSTurSKILLS,Education,,Bangalore,Karnataka,Online Training & Skill Assessment,560035,—,2014,boosturskills.in/,2,Sudhir Nair,Vinod P,,Nov-50,1,Seed,"Apr 1, 2014","$ 25,000.00",Seed,"$ 25,000.00",,,,,,—
The Home Salon,Beauty,Consumer Lending,Mumbai,Maharashtra,The Home Salon is a Beauty & Wellness Startup,—,$1M to $10M,2014,thehomesalon.in/,—,,,,01-Oct,1,Seed,"Aug 3, 2015",—,Seed,—,Artha Group,VentureNursery,,,,2
Xplorabox,E-Commerce,Education,Noida,Uttar Pradesh,Xplorabox is as an educational activity box subscription startup aiming to revolutionize the early education industry.,201301,—,Aug-15,www.xplorabox.com/,3,Dhirendra Meena,Rishabh Gupta,Rishi Das Agarwal,Nov-50,2,Seed,"May 23, 2019",—,Angel,—,JITO Angel Network,SucSEED Venture Partners,Z Nation Lab,Metaform Ventures,Swan Angel Network,6
CoinPay,Bitcoin,Financial Services,Maghar,Uttar Pradesh,CoinPay is the largest bitcoin payment solution.,—,—,"Jan 1, 2014",www.thecoinpay.com/,—,,,,01-Oct,1,M&A,"Jan 1, 2014",—,Pre-Seed,—,Drukka Startup Studio,,,,,1
Lifezen,Health Care,Pharmaceutical,Bangalore,Karnataka,"Lifezen is a young, dynamic OTC healthcare brand from the house of Bal Pharmaceuticals.",560052,Less than $1M,2014,www.lifezen.in/,1,Rohan Siroya,,,01-Oct,1,—,"Apr 22, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Zeroinfy,E-Commerce,EdTech,Kolkata,West Bengal,Zeroinfy is india's Largest online platform for exam preparation,—,—,Jul-15,zeroinfy.com/home/,4,Abhishek Bajaj,Aditya Bajaj,Gaurav Agarwal,01-Oct,1,Seed,"Sep 14, 2016",—,Seed,—,Calcutta Angels,,,,,1
Sensivision Health Technologies,Health Care,Medical,Bangalore,Karnataka,Sensivision Health Technologies is a neonatal care startup,560054,—,2015,www.sensivisionhealth.com,1,Jayadeep Unni,,,01-Oct,1,Seed,"Apr 23, 2018",—,Seed,—,Venture Center,,,,,1
Pianta,Customer Service,Health Care,Bengaluru,Karnataka,Pianta is a mobile platform that connects customers with service providers in realtime.,560038,—,"Aug 1, 2015",www.pianta.com,3,Ganesh Subramanian,Nitin Agarwal,Swaminathan Seetharaman,Nov-50,1,M&A,"May 27, 2016",—,Seed,—,Kunal Shah,Sandeep Tandon,,,,2
CellBeans Healthcare Pvt Ltd,Health Care,,Pune,Maharashtra,CellBeans is an organization in the healthcare industry.,411021,—,2014,www.cellbeanshealthcare.com,1,Swapnil JoshiI,,,Nov-50,1,Seed,"May 20, 2016",—,Seed,—,Govin Capital Pte Ltd,,,,,1
Fixy,Home Services,Internet,Mumbai,Maharashtra,Fixy is an endeavour to provide professional Handyman,400064,Less than $1M,2014,www.fixy.in/,2,Nabeel Merchant,Tufayl Merchant,,01-Oct,1,Seed,"Aug 17, 2015",—,Seed,—,VentureNursery,,,,,1
Fitnapp,Apps,Fitness,Noida,Uttar Pradesh,Fitnapp is a health related app that connects people with gyms and other fitness related institutions.,201301,$1M to $10M,2015,www.fitnapp.in/,2,Akshay Jhinga,Sagar Verma,,Nov-50,1,—,"Jan 19, 2017",—,Venture - Series Unknown,—,SD Group,,,,,1
CLOwork,Collaboration,Commercial Real Estate,Hyderabad,Andhra Pradesh,Collaboratives spaces that redefine the way millenials work and live.,500081,—,"Feb 26, 2015",www.clowork.in,3,Anurag Parepally,Raghuveer Kovuru,Vinay Peddinti,01-Oct,1,Seed,"Oct 3, 2017",—,Seed,—,,,,,,—
GenCrunch STPL,Analytics,Big Data,Hyderabad,Andhra Pradesh,Collaborative Business Intelligence,500033,Less than $1M,Apr-15,www.gencrunch.com,3,Anil Aruri,Ravi Prasad,Sushanth Abhishek,01-Oct,1,Seed,"Oct 15, 2015",—,Seed,—,TekFriday Inc,,,,,1
Shopmonk,Electronics,Retail,Bengaluru,Karnataka,Shopmonk is a retail store for electronic products.,—,—,2014,www.shopmonk.com/,—,,,,01-Oct,1,—,"Jun 1, 2015",—,Venture - Series Unknown,—,Accel India,,,,,1
Dhiti Omics,Biotechnology,Genetics,Bangalore,Karnataka,Dhiti Omics is a precision molecular diagnostics service provider offering tests using state-of-the-art genomics technologies.,560094,—,"Jun 24, 2014",www.dhitiomics.com/,2,Ramesh Kannan,Sudha Rao,,Nov-50,1,Seed,"Mar 30, 2016",—,Seed,—,,,,,,—
LearnBox,E-Learning,Education,Bhopal,Madhya Pradesh,The premier early education tutor matching platform.,—,$1M to $10M,Jul-15,learnbox.in,3,Angus Chan,Jessica Yung,Lewis Lai,01-Oct,1,Seed,"Aug 1, 2015",—,Angel,—,,,,,,—
Jiyo Natural,Food and Beverage,Food Processing,Bangalore,Karnataka,"Jiyo Natural is a health food startup that offers personalized nutritionally balanced, calorie monitored, and chemical-free food.",560 068,$1M to $10M,Mar-14,www.jiyonatural.com/,3,Gaurav Bhalotia,Rajesh Singh,Sunandini Sharma,Nov-50,1,Seed,"Oct 21, 2015",—,Angel,—,Indian Angel Network,,,,,1
DishCo,Food and Beverage,Food Delivery,Mumbai,Maharashtra,DishCo provides a mobile application recommends dishes while users gives votes and ranks to them.,—,Less than $1M,2014,www.dishco.com/,—,,,,101-250,1,Seed,"Sep 21, 2015",—,Angel,—,Ashish Hemrajani,Uday Punj,Anand Mahindra,Sanjeev Mehra,,4
Alo Agri Tech Pvt. Ltd.,Information Technology,,Mumbai,Maharashtra,Alo Agri Tech Pvt. Ltd. is a blockchain network for Agriculture. It will give a platform for small and medium agriculture farms.,—,—,2015,www.aloagri.com/,1,Ashish Lone,,,01-Oct,1,Seed,"Jun 1, 2016",—,Seed,—,Nestholma,,,,,1
Coccoon,Beauty,Health Care,Mumbai,Maharashtra,Coccoon is a skin care product provider.,400018,—,2015,coccoon.in/,1,Mohit Lalvani,,,Nov-50,1,M&A,"Jan 1, 2019",—,Venture - Series Unknown,—,Roots Ventures,,,,,1
Zopky.com (Acquired by Goomo.com),Tourism,Travel,Mumbai,Maharashtra,Build your next experiential holiday on Zopky App!,400051,Less than $1M,"Aug 8, 2015",www.zopky.com,3,Anshul Divakar,Pranil Bafna,Shubham Agrawal,01-Oct,1,Seed,"Mar 28, 2016",—,Angel,—,,,,,,—
CreditNation,Crowdfunding,E-Commerce,Delhi,Delhi,Credit Nation is India's leading online marketplace that provides easy comparison & best interest rates on loans.,110030,—,"Jan 29, 2014",www.creditnation.in/,2,Nupur Agarwal,Satish Grover,,51-100,1,Seed,"Feb 1, 2016",—,Angel,—,HNI Corporation,,,,,1
InMotion,Advertising,Financial Services,New Delhi,Delhi,Empowering auto-rickshaw drivers though technology and human interventions!,—,$10M to $50M,2015,www.inmotion.in/,2,Durgesh Nandann,Jaiditya Mathur,,Nov-50,1,Seed,"Sep 28, 2016",—,Seed,—,Shrishti Sahu,Prashant Tandon,Gaurav Agarwal,Shantanu Mathur,Prabhat Agarwal,6
StylFlip,E-Commerce,Fashion,Mumbai,Maharashtra,An online marketplace for pre-owned fashion products and accessories,400053,Less than $1M,2015,stylflip.com/site/,1,Zarik Nabi,,,01-Oct,1,Seed,"Mar 10, 2016",—,Seed,—,Raj Gala Shah,Zaheer Memon,,,,2
Newgen Payments,Business Intelligence,E-Commerce,New Delhi,Delhi,"Newgen is a multi-channel e-commerce platform, international payment gateway (cloud-based & PCI-certified), and digital marketing company.",110012,$1M to $10M,2014,newgenpayments.com,1,Sunil Jhamb,,,Nov-50,1,Seed,"May 25, 2015",—,Angel,—,,,,,,—
Supa Star Food,Consumer Goods,Food and Beverage,Gurgaon,Haryana,"Supa Food is a food conglomerate that develops & markets healthy, tasty, indulgent & convenient food products in 2 brands SUPACORN & MISHT",122015,$1M to $10M,"Apr 1, 2015",supafood.in,,,,,,,,,,,,,,,,,
Metro,More,Le Marche,,,,,,,,,,,,,,,,,,,,,,,,
eating and buying. The products are sold in beautiful giftable boxes of 2 or 8 pieces.,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferns and Petals,—,—,,,1,—,,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/supa-star-foods-pvt-ltd,—,,1,,,,,,,,,,,,,,,
BOGATCHI CHOCOLATES,E-Commerce,Internet,Delhi,Delhi,BOGATCHI is an online seller of chocolates.,110092,—,"Aug 8, 2015",www.bogatchi.com,1,Dr. Ansh Gupta,,,01-Oct,1,Seed,"Dec 1, 2015",—,Seed,—,,,,,,—
Flash Door,Delivery,E-Commerce,Bangalore,Karnataka,"Flashdoor is a 3 way marketplace which connects delivery agents, service providers and customers on a common platform.",560038,Less than $1M,2015,www.flashdoor.in/,2,Ankit Agarwal,Himanshu Gupta,,01-Oct,1,Seed,"Nov 15, 2015",—,Angel,—,Sujeet Kumar,,,,,1
MotoMojo,Automotive,Customer Service,Vikhroli,Maharashtra,"MotoMojo, a mobile app based vehicle maintenance startup",400079,—,2015,www.motomojo.in/,1,Uttam Arjun,,,Nov-50,1,Seed,"May 2, 2016",—,Seed,—,Niloufer Dundh,Balamurugan Mani,Fauzan Rahim,,,3
Glowship,E-Commerce,Manufacturing,Bangalore,Karnataka,Glowship is an online marketplace platform,—,$1M to $10M,2014,www.glowship.com/,1,Srinivas Potukuchi,,,01-Oct,2,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Infuse Ventures,Ncubate Capital Partners,,,,2
Hello Tax,Apps,Finance,New Delhi,Delhi,Hello Tax is an app that helps users fill income tax returns easily,110001,$1M to $10M,2015,www.hellotax.co.in/,2,Himanshu Kumar,Vikash Srivastava,,Nov-50,1,Seed,"Jun 27, 2016",—,Angel,—,,,,,,—
BusinessEX Solutions,B2B,Business Development,New Delhi,Delhi,BusinessEx.com is a networking platform that assists you to find the perfect solutions for your business with proper connections.,110020,Less than $1M,"May 28, 2015",www.businessex.com,1,Sachin Marya,,,51-100,1,—,"Feb 19, 2016",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Momos On Wheels,Food and Beverage,Food Delivery,Jalpaiguri,West Bengal,Momos On Wheels offers food and beverages.,734001,—,Oct-14,www.momosonwheels.in,1,Dipayan Biswas,,,01-Oct,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,IIM Calcutta Innovation Park,,,,,1
FlatFurnish,Consumer Electronics,Electronics,Gurgaon,Haryana,One of a kind startup with a business based on a unique model that allows consumers to revamp their abodes by renting furnishing equipments.,122002,$1M to $10M,2015,flatfurnish.com,2,Jeetesh Agrawal,Jyoti Goyal,,01-Oct,1,Seed,"Jan 5, 2016",—,Seed,—,Arun Chandramohan,,,,,1
LetsService Automotive Technologies,Automotive,E-Commerce,Bangalore,Karnataka,An on-demand marketplace and booking platform for two-wheeler servicing,560102,—,2015,letsservice.in/,3,Girish G,Sachin Radder,Sachin Vasanth Shenoy,Nov-50,2,Seed,"Oct 9, 2017",—,Seed,—,Ajay Prabhu,Deepak Vinchhi,,,,2
EFC Land Development & Infrastructure Limited,Business Development,Commercial,Mumbai,Maharashtra,EFC provides serviced office space / business center in India,—,—,2014,www.efcindia.org/,2,Abhishek Narbaria,Umeash Sahhaaii,,Nov-50,1,Seed,"Aug 17, 2016",—,Seed,—,Gautam Saraf,,,,,1
FlexiMC Solutions Pvt. Ltd.,Analytics,Asset Management,Bangalore,Karnataka,"A Mobile & Cloud Platform to Operate, Manage & Optimise Energy assets",560071,$1M to $10M,"Jan 29, 2014",www.FlexiMC.com,2,Feroz Mohammed,Hidayath Shaik,,Nov-50,1,Seed,"Jan 29, 2014","$ 30,000.00",Seed,"$ 30,000.00",,,,,,—
Hipship,Logistics,,Bangalore,Karnataka,Hipship is a cargo & freight company based in India which offers multiple delivery options.,560027,Less than $1M,Feb-14,www.hipship.com/,1,Ankit Sethia,,,01-Oct,1,Seed,"Nov 18, 2015",—,Seed,—,Excubator,Inara Capital,,,,2
Words Maya,Education,,Pune,Maharashtra,Words Maya is an English communication institute located in Pune.,—,—,2015,wordsmaya.com/,2,HARSHAD BHAGWAT,SANDEEP G. KHODE,,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,IIM Calcutta Innovation Park,,,,,1
Quahog Life,Health Care,Medical,Bangalore,Karnataka,Quahog Life is a artificially intelligent patient company.,—,—,2015,quahoglife.com/,2,Hilary Klassen,Veer Endra,,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Derbi Foundation,,,,,1
StoreMore,E-Commerce,Security,Delhi,Delhi,StoreMore is India’s first storage service for households and businesses.,—,$1M to $10M,2014,storemore.in/,2,Apollo Sharma,Nitin Dhawan,,Nov-50,1,Seed,"Aug 7, 2015",—,Seed,—,Bedrock Venture Management,,,,,1
Annapurna Swadisht,Bakery,Food and Beverage,Kolkata,West Bengal,Annapurna Swadisht is a manufacturer of snacks and food products.,700012,—,2015,www.annapurnasnacks.in/,—,,,,101-250,1,—,"Aug 21, 2022",—,Venture - Series Unknown,—,GMO,NAV Capital Emerging Star Fund,Rajasthan Global Securities,Shankar Sharma,Erstwhile Partner,6
Classic Legends,Manufacturing,,Mumbai,Maharashtra,Classic Legends manufactures and sells two-wheeler automobiles.,400069,—,2015,www.classiclegends.com/,—,,,,101-250,1,Private Equity,"Oct 1, 2017",—,Private Equity,—,Phi Capital,,,,,1
PaperToStone,Construction,,Bengaluru,Karnataka,PaperToStone provides full range of services for home improvement from design to construction,—,—,2015,www.papertostone.com/,4,Anubhav Sahoo,Deepak Singhal,Sangharsh Boudhh,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,growX ventures,Tracxn labs,,,,2
Aquvio,Water Purification,Water Transportation,Varanasi,Uttar Pradesh,"Aquvio is India's First RO based ​ Water Purification Technology with more than 70% recovery rate, and Alkaline Water.",221005,—,2015,www.aquvio.in/,2,Naveen Kumar,Rohit Mittal,,01-Oct,1,Seed,"Jul 16, 2019",—,Seed,—,"Technology Development Board, Government of India",INVENT,,,,2
LearnMor,Education,Tutoring,Hyderabad,Andhra Pradesh,LearnMor is on a mission to make it extremely easy for parents and students to hire home tutors.,—,Less than $1M,May-15,www.learnmor.com,2,Ekta Bansal Mor,Tarun Mor,,01-Oct,1,Seed,"Jul 18, 2016",—,Seed,—,,,,,,—
MLIT Solutions,Data Integration,Information Technology,Hyderabad,Andhra Pradesh,MLIT Solutions is an industrial manufacturer of industrial Internet of Things.,—,—,2014,www.mlitsol.com/,—,,,,Nov-50,1,—,"Jan 1, 2022",—,Venture - Series Unknown,—,Pontaq,,,,,1
InterviewAir,Staffing Agency,,Mumbai,Maharashtra,InterviewAir is Introducing A New Ecosystem For Training and Hiring.,400701,—,2014,interviewair.com/,2,Ridhima Gauba,Rohit Taneja,,Nov-50,2,—,"Jan 1, 2022",—,Venture - Series Unknown,—,Pontaq,Zone Startups In,,,,2
