company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
GKB optolabs,Manufacturing,,Mumbai,Maharashtra,"India's largest manufacturer and exporter of lenses, which conform to the best technical standards in the world.",400076,—,Sep-99,www.gkboptolabs.com,1,MAHENDRA KUMAR GUPTA,Nov-50,1,—,"Nov 2, 2012",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Convergence Tech,E-Learning,Education,Mumbai,Maharashtra,Convergence Tech provides distant learning infrastructure services.,—,—,"Jan 1, 1998",www.econvergence.net/,—,,—,1,—,"Sep 1, 2008",—,Venture - Series Unknown,—,,,,,,—
Bakelite Hylam,Building Material,Electronics,Secunderabad,Andhra Pradesh,Bakelite Hylam is a manufacturer of building materials and electronics.,—,—,"Jan 1, 1947",www.bakelitehylam.com/,1,N P S Shinh,101-250,1,Private Equity,"Jul 1, 2006","₹15,300,000",Private Equity,"₹15,300,000",ADM Capital,,,,,1
Satya Group,Real Estate,,New Delhi,Delhi,"Satya Group, one of the leading real estate developers in India with four decades of experience is headquartered in Gurgaon.",110001,$50M to $100M,1986,www.satyagroups.in,1,Nawal Kishore Agarwal,51-100,1,—,"Nov 1, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Growcer,E-Commerce,Internet,Mohali,Punjab,"Growcer is a hyperlocal grocery solution that enables an entrepreneur to launch a grocery marketplace, easily and effectively.",—,$1M to $10M,2004,www.fatbit.com/grocery-ecommerce-store-software...,—,,101-250,1,Seed,"Jan 9, 2020",—,Pre-Seed,—,Swiss Startup Group,,,,,1
YKROK,Child Care,Children,Bangalore,Karnataka,Leading chain of daycare centres in India.,560095,$10M to $50M,"Oct 16, 2002",ykrok.in/,2,Bharat Kapoor,101-250,1,—,"Jun 22, 2012","$3,000,000",Venture - Series Unknown,"$3,000,000",Kaizenvest,,,,,1
Smart Controls,Automotive,Consumer Electronics,Gwalior,Madhya Pradesh,Smart Controls is an innovation driven company,474006,—,1999,www.smartcontrols.in/,1,Ashutosh Chincholikar,101-250,1,Early Stage Venture,"Sep 1, 2017",—,Series A,—,Saudi Aramco Entrepreneurship Ventures,,,,,1
Pooja Crafted Homes,Real Estate,,Hyderabad,Andhra Pradesh,"Pooja Crafted Homes (PCH +) has been associated with excellence in development of prime properties in Hyderabad, Bangalore.",500029,—,2001,poojacraftedhomes.in,1,Showri Reddy,51-100,1,—,"Mar 21, 2013",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Mecklai Financial Services,Consulting,Financial Services,Mumbai,Maharashtra,Mecklai Financial Services is a consulting company that focuses on treasury risk management.,—,—,"Jan 1, 1995",www.emecklai.com/,—,,Nov-50,1,Private Equity,"Jul 1, 2000","₹98,300,000",Private Equity,"₹98,300,000",Infinity Venture Fund,,,,,1
Eximsoft Technologies,Cloud Computing,Enterprise Resource Planning (ERP),Bangalore,Karnataka,"Eximsoft Technologies provides mobile software solutions and consulting services in North America, Europe, Japan and India.",560 076,—,1997,,—,,1001-5000,1,M&A,"Jan 16, 2007","$14,000,000",Venture - Series Unknown,"$14,000,000",New York Life Investment Management,,,,,1
KonceptAmbience,Property Development,,Secunderabad,Andhra Pradesh,KonceptAmbience is Pioneering Gated Communities in India.,500003,—,1984,www.konceptambience.com/,1,Yashwant Agarwal,Nov-50,1,—,"Apr 16, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Prodigi,Advertising,Internet,Gurgaon,Haryana,A digital enabler- Mashes creative technology backed by insights into effective digital solutions,122015,—,2004,www.prodigi.io,—,,51-100,1,M&A,"May 26, 2015",—,Venture - Series Unknown,—,Smile Group,,,,,1
Axpert Media,,,Thane,Maharashtra,"Axpert Media is an internet media website that provides news, information, and entertainment.",400606,—,1922,axpertmedia.in/,2,Krishnaanand Nishad,01-Oct,1,Private Equity,"Mar 31, 1922","₹300,000",Private Equity,"₹300,000",,,,,,—
Rare Townships,Real Estate,,Mumbai,Maharashtra,Rare Townships is a real estate property aggregation website.,400071,—,2000,,—,,01-Oct,1,—,"Jun 1, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Borg Energy,Energy,Renewable Energy,Chennai,Tamil Nadu,"BORG Energy incepted over a decade ago in NASA’s Heliophysics Science Laboratory in Washington DC, USA.",600 034,$10M to $50M,2002,borgenergy.com/,1,Boaz Augustin,51-100,1,—,"Dec 15, 2012",—,Venture - Series Unknown,—,Brand Capital,,,,,1
IITian Chacha,EdTech,Education,Noida,Uttar Pradesh,IITian Chacha operates as an edtech startup.,—,—,1990,t.me/dushyantkumar303,1,Dushyant Kumar,Nov-50,1,Seed,"Feb 7, 2022",—,Angel,—,Laksh Yadav,,,,,1
S.R. FOILS,Manufacturing,,Delhi,Delhi,The company was incorporated in 1993 with their corporate office at New Delhi and has their manufacturing unit at Sotanala (Rajasthan).,110 027,—,1993,www.srfoils.net/,1,Rishi Gupta,01-Oct,1,—,"Nov 15, 2005",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Scotts Garments,Fashion,Industrial,Tirupur,Tamil Nadu,Scotts Garments is a readymade fashion garments manufacturer company.,—,—,1994,www.scottsgarments.com,1,Naseer Ahmed,1001-5000,1,—,"Dec 1, 2012","₹200,000,000",Venture - Series Unknown,"₹200,000,000",Canbank Venture Capital Fund,,,,,1
Merchem,Manufacturing,Product Design,Cochin,Kerala,Merchem is a leading manufacturers of chemicals and auxiliaries for the rubber industry.,683109,—,1981,www.merchem.com,—,,501-1000,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Canbank Venture Capital Fund,,,,,1
Raj Oil Mills,Consumer Goods,Cooking,Mumbai,Maharashtra,Raj Oil Mills Ltd. is one of the front runners when it comes to offering a wide variety of pure quality oils.,400008,—,1943,www.rajoilmillsltd.com/,1,Haji Suleman Jamal,101-250,1,IPO,"Jul 11, 2008",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Bafna,Biopharma,Health Care,Chennai,Tamil Nadu,Bafna Pharmaceuticals forayed into the pharmaceutical manufacturing industry.,600001,—,1981,bafnapharma.com/,1,Bafna Mahaveer Chand,501-1000,1,IPO,"Jul 1, 2008",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Imperial Spirits,Food and Beverage,Wine And Spirits,Coimbatore,Tamil Nadu,Imperial Spirits makes alcohol.,—,—,"Jan 1, 1998",www.imperialspirits.com,—,,101-250,2,—,"Jun 1, 2008","$4,850,000",Venture - Series Unknown,"$7,117,934",Lighthouse Funds,,,,,1
Xrbia,Building Material,Developer Tools,Pune,Maharashtra,XRBIA is amongst India’s fastest growing real estate Developer.,411004,—,2001,www.xrbia.com,1,Rahul Nahar,Nov-50,1,—,"Sep 1, 2014",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Ramky Estates,Energy,Infrastructure,Hyderabad,Andhra Pradesh,Ramky has been focusing on developing projects that positively impact both the environment and the economy as a whole,500 032,$1M to $10M,1994,ramkyestates.com,1,Alla Ayodhya Rami Reddy,10001+,1,—,"Apr 30, 2016",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Aurangabad Electricals Limited,Automotive,Machinery Manufacturing,Pune,Maharashtra,"Aurangabad Electricals Limited is a global supplier of aluminium cast and machined components for 2&3 wheelers, & passenger cars.",410501,$500M to $1B,1985,www.aurangabadelectricals.co.in,1,RISHIKUMAR RAJNARAYAN BAGLA,—,1,M&A,"Mar 1, 2006","₹451,200,000",Private Equity,"₹451,200,000",Blue River Capital,,,,,1
Agribuys,Enterprise,Food and Beverage,Pune,Maharashtra,Supply-chain software maker,—,—,"Dec 17, 1999",www.agribuys.com,—,,101-250,1,Late Stage Venture,"Aug 29, 2002","$5,000,000",Series C,"$5,000,000",Rustic Canyon Partners,,,,,1
Eurolife Healthcare Pvt Ltd,Biotechnology,Health Care,Mumbai,Maharashtra,Eurolife Healthcare is a pharmaceutical company that manufactures healthcare pharmaceutical formulations.,400018,$100M to $500M,2001,eurolifehealthcare.com/,—,,501-1000,1,—,"Jan 1, 2016",—,Venture - Series Unknown,—,OrbiMed,,,,,1
Celebrity Fashions,Fashion,Manufacturing,Chennai,Tamil Nadu,Celebrity Fashions design studios support the divisions and make them world class sourcing partners.,600045,—,1988,www.celebritygroup.com/,1,Venkatesh Rajagopal,5001-10000,1,IPO,"Jan 21, 2005",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Metis Technology,Enterprise Software,Software,Coimbatore,Tamil Nadu,Metis Technologies Inc has been in business since 1995,—,Less than $1M,1995,www.metistech.com,—,,01-Oct,1,Early Stage Venture,"Feb 6, 2002","$5,000,000",Series B,"$5,000,000",Newlight Management,Tobat Capital,,,,2
Tata Housing,Real Estate,,Mumbai,Maharashtra,Tata Housing Development Company one of India's leading Real Estate Development company.,400013,$10M to $50M,1984,www.tatahousing.in/,—,,501-1000,1,—,"Feb 1, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
BSR Super Speciality Hospitals,Health Care,,Bhilai,Chhattisgarh,BSR Super Speciality Hospitals is a healthcare services player operating a tertiary care hospital.,—,—,1993,www.apollobsr.com,—,,251-500,1,Private Equity,"Dec 14, 2010","$10,000,000",Private Equity,"$10,000,000",Aureos Capital,,,,,1
Goodwill Developers,Construction,,Mumbai,Maharashtra,Goodwill Developers has created luxurious spaces that have epitomized the pinnacle of comfort.,—,$1M to $10M,1997,www.goodwilldevelopers.com/,1,Hakim Lakdawala,Nov-50,1,—,"Sep 15, 2011",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Tubeknit Fashions,Fashion,Manufacturing,Tirupur,Tamil Nadu,Tubeknit Fashions is a garment manufacturing company.,—,—,"Jan 1, 1996",www.tubeknitfashions.com/,—,,Nov-50,1,—,"Jul 1, 2002","₹10,000,000",Venture - Series Unknown,"₹10,000,000",EQ India Advisors,,,,,1
Tribi Embedded Technologies Private,Hardware,Manufacturing,Bengaluru,Karnataka,Tribi Embedded Technologies is a manufacturer and exporter of measuring instruments and electronic products.,560 100,$10M to $50M,1998,www.tribi.com,—,,51-100,1,—,"Feb 8, 2008","$1,600,000",Venture - Series Unknown,"$1,600,000",Sequoia Capital,,,,,1
Colour Roof,Automotive,Manufacturing,Mumbai,Maharashtra,Colour Roof is a manufacturing company.,400059,—,2000,www.colourroof.com/,1,JUBIN THAKKAR KISHORE,51-100,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Canbank Venture Capital Fund,,,,,1
Raheja Universal,Real Estate,,Mumbai,Maharashtra,Raheja Universal is a real estate builders and developers that provide premium residential and commercial projects.,400098,$50M to $100M,1980,www.rahejauniversal.com/,2,Ashish Raheja,501-1000,1,—,"Sep 1, 2010",—,Venture - Series Unknown,—,Brand Capital,,,,,1
GV Meditech,Health Care,,New Delhi,Delhi,GV Meditech providing affordable healthcare services.,110019,—,1992,suryahealthcare.in/,—,,101-250,1,—,"Apr 28, 2010",—,Venture - Series Unknown,—,Aavishkaar Venture Capital,,,,,1
Chili's West & South India,Restaurants,,Mumbai,Maharashtra,"Chili’s American Grill & Bar, is the leading American casual dining restaurant chain present in over 1600 restaurants in 32 country.",—,—,"Jan 1, 1975",www.chilisindia.com/,—,,51-100,1,Private Equity,"Jan 1, 2019",—,Private Equity,—,TVS Capital Funds,,,,,1
Bhagyanagar Gas,Energy,Industrial,Hyderabad,Andhra Pradesh,"Bhagyanagar Gas provides gas supply to their customers in the transportation, domestic, commercial, and industrial sectors.",—,—,"Aug 1, 2003",www.bglgas.com/,2,A. K. Tiwari,501-1000,1,Private Equity,"Dec 23, 2010","$25,000,000",Private Equity,"$25,000,000",International Finance Corporation,,,,,1
Potential Service Consultants,Consulting,,Bengaluru,Karnataka,Potential Service Consultants is a consulting company,560078,—,1987,,—,,Nov-50,1,Private Equity,"Feb 1, 2007",—,Private Equity,—,MAPE Advisory Group,,,,,1
ICICI OneSource,Banking,Outsourcing,Bangalore,Karnataka,ICICI OneSource is a company promoted by the ICICI Group,560011,—,Dec-01,www.icicionesource.com/,—,,10001+,1,Private Equity,"Jul 1, 2004",—,Private Equity,—,MAPE Advisory Group,,,,,1
Shree Ganesh Jewellery House,Jewelry,Lifestyle,Kolkata,West Bengal,Shree Ganesh Jewellery House is one of the leading manufacturers and exporters of gold & diamond jewellery from India.,700016,—,2002,www.sgjhl.com/,2,Nillesh Parrekh,501-1000,1,IPO,"Jun 1, 2007",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Veta,Consulting,Education,Chennai,Tamil Nadu,Veta is a spoken English coaching center in chennai.,—,—,"Jan 12, 1981",www.veta.in/,—,,Nov-50,1,—,"Oct 6, 2007","$10,000,000",Venture - Series Unknown,"$10,000,000",SAIF Partners,,,,,1
Skipper Group,Furniture,,Kolkata,West Bengal,Skipper Furnishings is one of India’s most valued furnishing brands.,—,$10M to $50M,1986,skipperfurnishings.com,1,Kamlesh Agarwal,51-100,1,—,"Jul 1, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Janapriya,Real Estate,,Hyderabad,Andhra Pradesh,Janapriya takes pride in building houses that go on to become beautiful homes and great communities.,500 034,Less than $1M,1985,www.janapriya.com/,1,Ravinder Reddy Kondakindi,501-1000,1,—,"Jan 30, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Glue Design,Customer Service,Product Design,New Delhi,Delhi,Glue Design is a Design + Innovation company,110030,—,1990,www.gluedesign.in/,1,Niladri Mukherjee,Nov-50,2,—,"Oct 16, 2017",—,Venture - Series Unknown,—,Singapore Angel Network,GHV Accelerator,,,,2
homers.in,Real Estate,Rental,Gurgaon,Haryana,Searching for residential properties or apartments-flats on sale in Gurgaon has become effortless through homers.in,—,Less than $1M,1962,homers.in,2,Tarun Chaudhry,01-Oct,1,Seed,"Oct 15, 2015",—,Seed,—,Amitpal Bhutani,Rajesh Aggarwal,,,,2
Khyati Realities,Property Development,Real Estate,Ahmedabad,Gujarat,"Since its inception in 1995, Khyati Realities Limited have believed that there is only one mantra for success is a Quality.",380 009,—,1995,www.khyatirealities.com/,1,Shri Kartik J. Patel,Nov-50,1,—,"Nov 15, 2014",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Nimai Developers,Real Estate,Real Estate Investment,Gurgaon,Haryana,Nimai Developers is one of the top leading real estate industries in Gurgaon.,122002,—,1992,www.nimaidevelopers.com,—,,251-500,1,—,"Oct 10, 2012",—,Venture - Series Unknown,—,Brand Capital,,,,,1
SMS Paryavaran,CivicTech,Construction,New Delhi,Delhi,SMS Paryavaran is a public health works services company.,—,—,"Jan 1, 1992",www.smsplindia.com/,—,,Nov-50,1,—,"Sep 8, 2011","₹400,000,000",Venture - Series Unknown,"₹400,000,000",Aditya Birla Capital,,,,,1
Dr. Tech,,,Kolkata,West Bengal,Dr. Tech is an instrumentation company that specializes in automation products and laboratory instruments.,700090,$1M to $10M,"Jan 1, 1999",www.drtech.co.in/,—,,—,2,—,"Jan 1, 2013",—,Venture - Series Unknown,—,ACE Ventures,Bossanova Investimentos,,,,2
Nanak Properties,Communities,Lifestyle,Mumbai,Maharashtra,Nanak Properties was built with an indomitable spirit to develop luxury homes and provide world-class lifestyle.,400 053,$50M to $100M,1988,www.nanakproperties.com/,2,Manoj Sainani,501-1000,1,—,"Oct 1, 2008",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Agarwal Associates,Real Estate,,Delhi,Delhi,"The rapid, near magical transformation of the Delhi-NCR region has made a huge contribution to the local economy.",110092,$1M to $10M,1979,www.agarwalassociatesgroup.com,1,Uma Agarwal,51-100,1,—,"Jul 3, 2010",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Grameen,Enterprise,Foundries,Hyderabad,Andhra Pradesh,GrameenInc is an social enterprise supporting company.,500072,—,2000,www.grameeninc.com/,—,,51-100,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,IIM Calcutta Innovation Park,,,,,1
Agrawal Construction,Construction,,Bhopal,Madhya Pradesh,"A market driven Construction Company renowned for excellence, quality, performance and reliability in all types of construction.",462011,$1M to $10M,1983,www.agrawalconstruction.com,—,,251-500,1,—,"Apr 1, 2016",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Siddhi Developers,Developer Tools,Innovation Management,Ahmedabad,Gujarat,Siddhi Developers the group is committed towards shaping dreams and transforming lives.,380059,$1M to $10M,1990,www.siddhidevelopers.com/,1,Vinod Patel,01-Oct,1,—,"Oct 1, 2011",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Purvanchal Group,Construction,Real Estate,Noida,Uttar Pradesh,Purvanchal Group started construction in Delhi 1994 and rapidly rose to be a premiere construction company.,201 301,$1M to $10M,1994,www.purvanchalconstruction.com,1,Shah Alam,Nov-50,1,—,"Jun 18, 2008",—,Venture - Series Unknown,—,Brand Capital,,,,,1
MJ Infrastructure & Builders,Construction,Property Management,Bangalore,Karnataka,The Company continues to develop and become the leading Engineering and Construction firm in India.,560068,$1M to $10M,1999,mjinfrastructure.com,1,P Anil kumar,101-250,1,—,"May 2, 2016",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Channel Mentor IT,Real Time,Software,Bangalore,Karnataka,Deep expertise in automation of business process defines Channel Mentor. Channel Mentor helps its customers identify oportunities in,—,$1M to $10M,2003,channelmentor.com,—,,Nov-50,1,Early Stage Venture,"Apr 1, 2013","$286,509",Series A,"$286,509",Karnataka Information Technology Venture Capital Fund,,,,,1
Durg Shivnath Expressways,Infrastructure,Transportation,Durg,Chhattisgarh,"Durg Shivnath Expressways owns, operates, constructs, and maintains roads and highways.",491001,—,1997,,—,,1001-5000,1,Private Equity,"Oct 22, 2007",—,Private Equity,—,IDFC Private Equity,,,,,1
KGS Developers,Property Development,,Chennai,Tamil Nadu,KGS Developers is one of India's leading builders is elevating the urban skyline of south India to the futuristic level in the next 5 years.,600020,Less than $1M,1974,www.kgsdevelopers.com/,—,,1001-5000,1,—,"Dec 6, 2013",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Altus Learning,Education,Higher Education,Ahmedabad,Gujarat,Gujarat's largest school management company.,—,$1M to $10M,"Jan 1, 1995",altuslearning.org,—,,51-100,1,—,"Aug 10, 2012","$3,500,000",Venture - Series Unknown,"$3,500,000",Kaizenvest,,,,,1
Hydroair Tectonics (PCD),,,Mumbai,Maharashtra,Hydroair Tectonics (PCD) is a engaged in the field of environmental engineering and marine intake and outfall systems.,400 614,—,1986,hydroair.com/,—,,Nov-50,2,Private Equity,"Nov 9, 2011","$10,000,000",Private Equity,"$11,200,000",Subhkam Ventures,Clearwater Capital Partners LLC,,,,2
DS Productions,Film Production,Media and Entertainment,Delhi,Delhi,DS Productions is a content and film media production house.,110054,—,2004,dsproductions.in,1,Deepak Sharma,01-Oct,1,—,"Feb 1, 2012",—,Venture - Series Unknown,—,Redclays Capital,,,,,1
Shakti Office,Enterprise Software,Information Technology,Chennai,Tamil Nadu,Shakti Office is a bilingual office suite that is ideal for any kind of business.,—,—,"Jan 1, 1996",www.shaktioffice.in/,—,,Nov-50,1,—,"Jun 1, 2006","₹2,000,000",Venture - Series Unknown,"₹2,000,000",Aavishkaar Venture Capital,,,,,1
Education Pathways,Communities,Education,Kolkata,West Bengal,"Pathways aims to build and nurture a community of thinking, compassionate world citizens.",—,$1M to $10M,1987,edupathways.in/,1,KAUSIK MITRA,51-100,1,—,"Oct 27, 2013",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Gratitude India,Recruiting,,Mumbai,Maharashtra,Gratitude India was launched in 2004 with a unique mission to Empower Candidates in the process of Recruitment.,400064,$10M to $50M,2004,www.gratitudeindia.com,2,Akhil Ahluwalia,51-100,1,—,"Dec 18, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Abhay Nutrition,Agriculture,Health Care,Jalna,Maharashtra,"Abhay Nutrition engages in the research, development and production of nutrition products.",—,—,"Jan 6, 1983",abhaynutrition.com/,1,Mr Ashish Mantri,501-1000,1,—,"Aug 10, 2011","₹260,000,000",Venture - Series Unknown,"₹260,000,000",SEAF,,,,,1
CollageGroup,Real Estate,,New Delhi,Delhi,CollageGroup is a research and knowledge-driven real estate firm.,110065,Less than $1M,1990,www.collageindia.com/,1,Naina Kohal,251-500,1,—,"Feb 1, 2007",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Cosmos Group,Real Estate,,Mumbai,Maharashtra,Cosmos Group is a named construction in India and has different specialized divisions handled by qualified and experienced professionals.,400 602,Less than $1M,2000,www.cosmosprime.com/,3,Manish Khandelwal,01-Oct,1,—,"Jan 11, 2013",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Smart Habitat,Electronics,Energy,Hyderabad,Andhra Pradesh,"Smart Habitat provides products which control your whole home remotely, from your remote or cell phone.",—,—,2002,smart-habitat.com/,—,,01-Oct,2,Seed,"Oct 4, 2012",—,Seed,—,Techstars,Techstars Ventures,,,,2
Manjeera Group,Real Estate,,Hyderabad,Andhra Pradesh,Manjeera group is a construction conglomerate that puts customer delight before corporate gain.,500072,—,1986,www.manjeera.com,1,Gajjala Yoganand,51-100,1,IPO,"May 16, 2010",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Sanghvi Developers,Real Estate,,Mumbai,Maharashtra,Sanghvi Land Developers Pvt. Ltd. is one of Mumbai's leading real estate developers.,—,—,1986,www.sanghvidevelopers.com/,2,Harshad Sanghvi,01-Oct,1,—,"Aug 1, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Intec Group,Consumer,Consumer Electronics,New Delhi,Delhi,INTEC GROUP is one of the foremost OEMs in the field of white goods and home appliances renowned Indian brands since 1989.,110029,$10M to $50M,"Feb 4, 1989",intec.co.in,1,Amarjit singh Daswal,501-1000,1,—,"Apr 1, 2014",—,Venture - Series Unknown,—,Brand Capital,,,,,1
UNITEK,Manufacturing,,Kochi,Kerala,The UNITEK journey began in 1982 with the manufacture of emergency lights and burglar alarms.,683101,$1M to $10M,1982,unitekups.in/,1,John Zachariah,51-100,1,—,"Nov 1, 2007",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Chennai Homes,Consulting,Legal,Chennai,Tamil Nadu,Chennai Homes is a real estate agency and consulting firm serving both residential and commercial clients.,—,Less than $1M,2004,chennaidreamhomes.com,—,,01-Oct,1,—,"Dec 12, 2014",—,Venture - Series Unknown,—,Brand Capital,,,,,1
KLT Auto,Automotive,Manufacturing,Mumbai,Maharashtra,KLT Auto is an Indian pioneer in making precision tubes with new advanced facilities and processes.,400 059,—,1994,www.kltauto.com/,1,Jubin Thakkar,501-1000,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,Canbank Venture Capital Fund,,,,,1
Chiranjjeevi Wind Energy,Electronics,Energy,Pollachi,Tamil Nadu,Chiranjjeevi Wind Energy is a manufacturer and supplier of wind electric generators.,—,—,"Jan 1, 1998",www.cwel.in/,—,,51-100,1,Private Equity,"Apr 28, 2008","₹999,600,000",Private Equity,"₹999,600,000",Dubai Investment Group,,,,,1
Ravi Technoforge,Manufacturing,Product Design,Rajkot,Gujarat,Ravi Technoforge is an Engineering Company .,360 311,—,1990,ravitechnoforge.com/,1,Amrutlal Bharadia,501-1000,1,—,"Jan 25, 2012","₹150,000,000",Venture - Series Unknown,"₹150,000,000",Canbank Venture Capital Fund,,,,,1
Wicfy Vaporizers,Shopping,,Pune,Maharashtra,Wicfy Vaporizers is a shopping discovery platform,—,—,2000,www.wicfy.com/,—,,Nov-50,1,Seed,"Jul 29, 2013",—,Seed,—,Ecosystem Ventures,Everest Management Fund,,,,2
Avonmore Capital,Financial Services,,New Delhi,Delhi,Avonmore Capital is a non banking financial services company.,110020,—,1991,www.avonmorecapital.in/,—,,—,1,—,"Aug 1, 2007",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Prize Petroleum,Energy,Oil and Gas,New Delhi,Delhi,Prize Petroleum offers oil exploration and production services.,—,—,1998,www.prizepetroleum.com/,1,MULKH RAJ PASRIJA,Nov-50,1,Seed,"Oct 1, 1998","₹10,000,000",Seed,"₹10,000,000",ICICI Venture,,,,,1
Pate Developers,Real Estate,,Pune,Maharashtra,"Pate Developers has been at the forefront of, and in sync with, Pune’s progressive real estate landscape.",411030,$1M to $10M,1983,patedevelopers.com,1,Balkrishna Pate,Nov-50,1,—,"Dec 1, 2015",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Asomi Finance,Customer Service,Finance,Guwahati,Assam,Asomi Finance is a provider of financial services.,—,—,"Jan 1, 1995",www.asomi.co.in/,1,Subhra Jyoti Bharali,251-500,1,Private Equity,"Feb 1, 2009","₹80,000,000",Private Equity,"₹80,000,000",Incofin Investment Management,,,,,1
Imperia Structures Ltd.,Commercial Real Estate,Real Estate,New Delhi,Delhi,Imperia Structures is an India-based property company that provides residential and commercial construction projects.,110044,—,1985,www.imperiastructures.com/,—,,51-100,1,—,"May 1, 2013",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Mont Vert Homes,Real Estate,,Pune,Maharashtra,Mont Vert a leading real estate developer and builder of 2/3 /4 BHK luxury homes/apartments/flats.,411 021,—,2000,www.montverthomes.com/,1,Jayant Kaneria,Nov-50,1,—,"Jun 5, 2013",—,Venture - Series Unknown,—,Brand Capital,,,,,1
ND developers,Real Estate,,Bangalore,Karnataka,N.D. Developers Private Limited (formerly known as ‘United Constructions’ in the field of construction for the past two decades),560 076,$1M to $10M,"Jan 13, 2003",www.nddevelopers.com/,2,Ayesha Sultana,51-100,1,—,"Apr 27, 2012",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Kassa,E-Commerce,Internet,Jaipur,Rajasthan,Kassa is a tool for the organization of online sales for small businesses.,302001,—,"Jan 1, 2003",kassabykarensantos.com/,—,,01-Oct,1,Seed,"Feb 17, 2014",—,Seed,—,Internet Initiatives Development Fund (IIDF),,,,,1
Royal Splendour,Real Estate,,Chennai,Tamil Nadu,Royal Splendour has been an entity that stands as an epitome of trust in the real estate space since 2002.,600032,—,2002,www.royalsplendour.com,4,Chandrasekaran Sivaramakrishnan,01-Oct,1,—,"Aug 10, 2014",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Gobardanga Charulata,Delivery,Fashion,Gobardanga,West Bengal,"Gobardanga Charulata short of GC Dokan is a clothing shop placed in Gobardanga, West Bengal. Where available all kinds clothing items.",743273,—,"Feb 10, 1990",www.gcdokan.com,2,Jay Banik,01-Oct,1,—,"May 15, 1990",—,Venture - Series Unknown,—,Swapan Banik,,,,,1
Numex,Communities,E-Commerce,Aligarh,Rajasthan,Numex operates as an e-commerce website.,202001,$10M to $50M,1999,www.InternetMercado.com,—,,—,2,—,"Feb 15, 2000","$3,000,000",Venture - Series Unknown,"$4,500,000",The TCW Group,Bastion Capital Corporation,,,,2
Westland,Industrial,Publishing,Chennai,Tamil Nadu,Trent Limited subsidiary and one of the publishing houses in India,600095,$10M to $50M,1962,westlandbooks.in/,1,Gautam Padmanabhan,01-Oct,1,Seed,"Feb 11, 2016",—,Seed,—,Amazon,,,,,1
ReachTax,Finance,,Chennai,Tamil Nadu,ReachTax is a tax preparation website.,—,—,2000,reachtax.com,1,Robin Moses,01-Oct,1,Seed,"Aug 13, 2009",—,Seed,—,The Morpheus,,,,,1
Ideal Education,Education,,Goregaon,Maharashtra,Ideal Education has been at the forefront of coaching students across multiple spheres of education since 1987.,—,Less than $1M,1987,www.idealclasses.com,1,Jagdish Walawalkar,501-1000,1,—,"Oct 15, 2011",—,Venture - Series Unknown,—,Brand Capital,,,,,1
Welspun Steel,Building Material,Industrial Manufacturing,Mumbai,Maharashtra,Welspun Steel is an Indian steel company.,400013,$1B to $10B,2004,www.welspunsteel.com/,—,,501-1000,1,Private Equity,"Aug 19, 2011","$60,000,000",Private Equity,"$60,000,000",Apollo,,,,,1
