company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,no of investor,investor1,investor2,investor3,investor4
Can Dev Solutions,Information Technology,Software,Ahmedabad,Gujarat,Can-Dev Solutions is pioneer IT outsourcing services and offshore software development company.,382415,—,"Apr 14, 2016",candevsolutions.com/,—,,,51-100,1,Seed,"Apr 15, 2016","$ 1,00,000.00",Seed,"$ 1,00,000.00",—,,,,
Easy Nirman,Building Maintenance,Construction,Raipur,Chhattisgarh,"Easy Nirman is a market place for all the construction products ,services and solutions.",492001,$1M to $10M,"Nov 16, 2016",www.easynirman.com,1,Vikas Chandani,,Nov-50,1,Seed,"Sep 13, 2018","$ 30,000.00",Seed,"$ 30,000.00",—,,,,
GOLD FOGG,Food and Beverage,Lifestyle,Bangalore,Karnataka,R Z International is a beverage company based in India.,562123,$1M to $10M,"Feb 7, 2016",www.goldfogg.com/,1,Rahul Jain,,Nov-50,1,Seed,"Aug 16, 2016","$ 4,25,000.00",Seed,"$ 4,25,000.00",—,,,,
Grabnpay eCommerce Private Limited,E-Commerce,Internet,Bangalore,Karnataka,"GrabnPay is an e-commerce company providing marketplace for the fashion retail, electronics, household accessories, etc items selling online",560099,$1M to $10M,"Jun 15, 2016",www.grabnpay.in/,1,Abishek Raju,,Nov-50,2,Seed,"Aug 25, 2019","$ 2,00,000.00",Seed,"$ 3,40,000.00",—,,,,
TechPledge Consulting,Consulting,Corporate Training,Bengaluru,Karnataka,IT Training and App Development Company,560025,—,"May 7, 2016",www.techpledgeconsulting.com/,2,Bipeen Sinha,Shruti Sinha,Nov-50,1,Private Equity,"Jan 5, 2020","$ 13,621.00",Private Equity,"$ 13,621.00",1,,,,
SmartRiders India Pvt Ltd,Apps,Automotive,Pune,Maharashtra,SmartRiders India Pvt Ltd is a taxi company with pick and drop facility for our customers.,411027,—,"Nov 9, 2015",www.smartriders.in,1,Vijay Surve,,Nov-50,2,Seed,"Feb 15, 2016","₹ 10,00,000.00",Seed,"₹ 20,00,000.00",—,,,,
Psychd Analytics Pvt Ltd,Analytics,Artificial Intelligence (AI),Gurgaon,Haryana,"Psychd aims at helping create better human bonds at work, home and in relationships using psychology and machine learning",122001,—,"Nov 10, 2015",www.psychd.co,2,Jasmine Singh,Mandeep Sidana,Nov-50,2,Seed,"Jan 20, 2016","$ 50,000.00",Seed,"$ 50,000.00",1,,,,
QuikHiring,Mobile Apps,Recruiting,Noida,Uttar Pradesh,QuikHiring is a most convenient mobile job app for job seekers and recruiter for location based searches.,—,—,"Jan 1, 2016",www.quikhiring.com,1,Shri Pal Singh,,Nov-50,1,Seed,"Jul 7, 2016","$ 80,000.00",Seed,"$ 80,000.00",—,,,,
Knowledgekart.in,E-Learning,Education,Gurgaon,Haryana,Knowledgekart Online Education Academy focus on providing the education to everyone on a very nominal rates. So that everyone can afford it.,122001,—,"May 15, 2016",Knowledgekart.in,2,Ravish Singh,Vinay Disodia,01-Oct,2,Seed,"Jan 1, 2017","₹ 5,00,000.00",Seed,"₹ 7,00,000.00",—,,,,
Applancer,Bitcoin,Cryptocurrency,Chandigarh,Chandigarh,"Daily Updates on Blockchain News, Bitcoin News, upcoming & Ongoing ICOs, cryptocurrency market, Ethereum news, FinTech news etc.",160101,$1M to $10M,"Dec 16, 2016",www.applancer.co,1,Sahil Kohli,,Nov-50,1,Seed,"Dec 16, 2016","$ 50,000.00",Seed,"$ 50,000.00",1,,,,
ZingUpLife,Health Care,Information Technology,Bangalore,Karnataka,"ZingUpLife is India's first curated wellness engagement and advisory platform, and the World's first ISO 26000 verified wellness company",560066,Less than $1M,"Nov 1, 2015",www.zinguplife.com,2,Anirvanjyoti Chaudhuri,Sambit Mohanty,01-Oct,1,Seed,"Jan 15, 2016","$ 2,50,000.00",Seed,"$ 2,50,000.00",—,,,,
Predible Health,Artificial Intelligence (AI),Health Care,Bangalore,Karnataka,"Predible Health is an Artificial Intelligence platform in Radiology, tailored for Specialists.",560029,—,May-16,www.prediblehealth.com,3,Abhijith Chunduru,Deepak Mohan,Nov-50,2,Seed,"Dec 14, 2020",—,Seed,—,3,Stellaris Venture Partners,Unitus Ventures,,
Adbell Media,Advertising,Social Media,Noida,Uttar Pradesh,Adbell Media is an internet company that specializes in the fields of social media marketing and advertising.,201301,—,May-16,www.adbellmedia.com/,2,Shakar Sharma,Tushar Jain,Nov-50,1,M&A,"Mar 10, 2019","$ 50,000.00",Pre-Seed,"$ 50,000.00",—,,,,
Zama Organics,Food and Beverage,Organic Food,Mumbai,Maharashtra,Zama Organics offers fresh organic products from farms and delivers directly to the doorstep.,400011,—,2016,www.zamaorganics.com,—,,,Nov-50,1,Seed,"Feb 3, 2022",—,Seed,—,3,Jay Mehta,Arjun Lamba,,
EnGrip,Browser Extensions,Knowledge Management,,,EnGrip captures non formal learning and builds Knowledge Identity online that demonstrates expertise beyond formal education,500049,—,2016,www.engrip.com,1,India,Asia-Pacific (APAC),01-Oct,1,Seed,"Feb 5, 2016","$ 40,000.00",Angel,"$ 40,000.00",1,,,,
Sama,Advice,Law Enforcement,Bengaluru,Karnataka,Sama helps people to resolve their dispute with help of a mediator through the process called mediation.,—,Less than $1M,Sep-15,www.sama.live/,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/odrways,Akshetha Ashok,Campus Fund,01-Oct,1,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/odrways,"Oct 27, 2022",—,Seed,,1,,,
SCIKEY,Commercial,Human Resources,Pune,Maharashtra,"SCIKEY, is a Digital platform for Jobs, Work & Talent Solutions.",411016,—,Dec-16,www.scikey.ai,4,Akshay Sharma,Alok Kumar,251-500,4,Seed,"Jul 16, 2019",—,Seed,—,1,,,,
ChikooPay,Credit Cards,Debit Cards,Indore,Madhya Pradesh,ChikooPay consolidates all payment cards into a single card.,—,—,2016,www.chikoopay.com,1,Sudd Goyal,,01-Oct,1,Seed,"Mar 5, 2017","$ 20,000.00",Seed,"$ 20,000.00",1,,,,
Shefyle,E-Commerce,E-Commerce Platforms,Mumbai,Maharashtra,Shefyle is a socio-commerce platform that bridges the gap between fashion enthusiasts and experts.,—,—,Feb-16,www.shefyle.com,1,Nimit Jain,,01-Oct,1,Seed,"Feb 1, 2016","$ 1,50,000.00",Seed,"$ 1,50,000.00",—,,,,
LMN Soft Solutions,Digital Marketing,Mobile Apps,Hyderabad,Andhra Pradesh,LMN Soft Solutions offers IT services.,500072,Less than $1M,"Dec 22, 2016",www.lmnsoftsolutions.com,2,Naren Kumar,Naren Muvva,01-Oct,1,Seed,"Jan 1, 2018","₹ 2,85,000.00",Seed,"₹ 2,85,000.00",—,,,,
StayAbode,Home Services,Product Design,Bengaluru,Karnataka,"Stayabode is leveraging technology, design, service and brand to build co-living spaces for the rental residential real estate market.",560102,$1M to $10M,2016,stayabode.com/,3,Devashish Dalmiya,Varun Bhalla,Nov-50,4,M&A,"Mar 11, 2019",—,Seed,—,13,LetsVenture,Incubate Fund,Anupam Mittal,AET Fund
Barosi,Farmers Market,Fast-Moving Consumer Goods,Gurgaon,Haryana,"Barosi is an authentic food brand which produces Pure, Local & Wholesome Indian food Like Ghee, Cold Pressed Oils, Jaggery, Pickles & Milk.",122001,—,2016,www.barosi.in,1,Durlabh Kumar Rawat,,Nov-50,1,Seed,"Jan 1, 2016",—,Seed,—,1,,,,
fixmobli,Mobile Devices,Technical Support,Gurgaon,Haryana,Fixmobli provides technical supports for mobile devices.,—,—,"Dec 6, 2016",www.fixmobli.com,1,Ashish Gaur,,Nov-50,1,Seed,"Mar 21, 2017","₹ 25,00,000.00",Seed,"₹ 25,00,000.00",—,,,,
MiStay,Business Travel,Hospitality,Bangalore,Karnataka,MiStay is a travel-tech company that allows booking a hotel room by pack of hours with flexible check-in & check-out time.,—,$1M to $10M,2016,www.mistay.in,2,Pranav Prabhakar,Sandeep Jaiswal,01-Oct,2,Seed,"Oct 25, 2019",—,Seed,—,2,Axilor Ventures,,,
Loans4SME,Financial Services,FinTech,Mumbai,Maharashtra,Loans4SME is an alternative lending platform.,—,—,2016,loans4sme.com/,1,Simmi Sareen,,01-Oct,2,Seed,"Oct 17, 2018",—,Seed,"$ 50,000.00",2,Powered Accelerator,,,
KloudMate,Cloud Computing,,Bengaluru,Karnataka,Kloudmate is a cloud observability platform.,—,—,"Sep 20, 2016",www.kloudmate.com,3,Amitava Saha,Bidyut Bikash Baruah,Nov-50,1,Seed,"May 30, 2022",—,Pre-Seed,—,10,JITO Angel Network,2am VC,KRS Jamwal,Anoop Mathur
Roulik,Manufacturing,,Bangalore,Karnataka,"Electric mobility, manufacturing",—,—,"Apr 11, 2016",roulik.com,1,Raees T,,01-Oct,1,Seed,"Jun 8, 2018","$ 82,000.00",Pre-Seed,"$ 82,000.00",—,,,,
Hire My Farmer,Agriculture,Big Data,Hyderabad,Andhra Pradesh,Hire My Farmer is a connecting platform that allows retailers and food businesses to place direct orders with farmers.,—,—,2016,www.hiremyfarmer.com/,1,Khajamoinuddin Mohammed,,Nov-50,2,Seed,"Jun 4, 2020",—,Seed,—,2,FoodFutureCo,,,
Uberdreams,Digital Entertainment,Internet,Mumbai,Maharashtra,Uberdreams.com offers experiences of meeting celebrities and fulfilling other wishes,400018,Less than $1M,2016,www.uberdreams.com/,1,Savan Daru,,Nov-50,1,Seed,"Aug 23, 2016","$ 5,00,000.00",Seed,"$ 5,00,000.00",1,,,,
Medzin,E-Commerce,Health Care,Delhi,Delhi,Medzin is a Online Healthcare Aggregator connecting customers to nearby healthcare facilities.,110092,—,Nov-15,www.medzin.in/,3,Madhav Shankar,Raghav Sarda,Nov-50,2,Seed,"Nov 5, 2016","$ 45,000.00",Angel,"$ 45,000.00",1,,,,
Nightfood.xyz,Delivery Service,E-Commerce,Ahmedabad,Gujarat,Nightfood.xyz is an online restaurant service company that specializes in late night delivery services.,—,—,"Jun 14, 2016",nightfood.xyz,1,krishna bharwad,,01-Oct,1,Seed,"Jun 21, 2016","$ 10,000.00",Seed,"$ 10,000.00",—,,,,
Verteil Technologies,Air Transportation,Software,Kochi,Kerala,Verteil Technologies is at the forefront of driving technology transformation in the airline distribution space.,—,—,2016,www.verteil.com/,2,Jerrin Jos,Satheesh Satchit,Nov-50,1,Seed,"Feb 19, 2021",—,Seed,—,4,Kochouseph Chittilappilly,K.M Varghese,Hassan Kunhi,
spantools pvt ltd,B2B,Service Industry,Bangalore,Karnataka,Spantools is a B2B services-based platform for SME's on process optimization.,560041,—,"May 18, 2016",spantools.com,1,Tanisha Jain,,Nov-50,1,Seed,"May 18, 2016","$ 18,000.00",Seed,"$ 18,000.00",1,,,,
CLED Infotech LLP,Education,Software,Surat,Gujarat,Child 1st is a SaaS based integrated school management software.,395001,—,"Sep 17, 2015",child1st.co.in,1,Jeejan Joseph,,Nov-50,1,Seed,"Nov 1, 2016","$ 1,50,000.00",Seed,"$ 1,50,000.00",—,,,,
MyAdvo,Legal,Legal Tech,Gurgaon,Haryana,MyAdvo is an online marketplace for lawyers and legal services.,122003,—,"Sep 24, 2015",www.myadvo.in/,2,Anil Bains,Kushal Bhagat,51-100,3,Early Stage Venture,"Oct 16, 2018",—,Series A,—,5,WaterBridge Ventures,Soma Somasegar,OperatorVC,Pradyumna Dalmia
CodeCARRY,Advertising,Android,Gurgaon,Haryana,ROI-focused digital marketing agency providing cutting-edge growth strategies to drive your business forward.,—,—,"Nov 30, 2016",codecarry.com,1,Mak Varma,,Nov-50,1,Seed,"Dec 11, 2016","$ 5,000.00",Seed,"$ 5,000.00",—,,,,
Terratech Interactive,Health Care,Internet of Things,Bengaluru,Karnataka,Wearables for Coronary Artery Disease & Heart Failure Monitoring,560045,—,"Nov 23, 2016",,4,Deepanjan Datta,"Dr. Deepanjan Datta, Ph.D.",01-Oct,1,Seed,"Jan 31, 2020","$ 65,000.00",Angel,"$ 65,000.00",—,,,,
NEETprep,E-Learning,,New Delhi,Delhi,NEETprep is providing crash course for NEET Preparation.,—,—,2016,www.neetprep.com/,1,Kapil Gupta,,01-Oct,2,—,"Feb 5, 2020",—,Venture - Series Unknown,—,2,White Unicorn Ventures,,,
Sunfox Technologies,Hardware,Health Care,Dehra Dun,Uttarakhand,Sunfox Technologies is a research and development lab with accessible technology.,248001,$10M to $50M,"Aug 16, 2016",sunfox.in,2,Arpit Jain,Rajat Jain,Nov-50,1,Seed,"Jun 11, 2022",—,Seed,—,1,,,,
Insteract,Analytics,Business Travel,Bangalore,Karnataka,Automate your travel desk. Insteract makes business trip planning transparent and personlised.,560034,Less than $1M,"Oct 28, 2015",www.insteract.com,3,Anandkumar Chandran,Balaji Ramakrishnan,01-Oct,1,Seed,"Sep 15, 2016","$ 2,50,000.00",Seed,"$ 2,50,000.00",—,,,,
Flamingo,Finance,Financial Services,Kochi,Kerala,"Facilities management tool that gives cost effective visibility over regulation compliance, maintenance and capital spending.",—,$1M to $10M,"May 3, 2016",flamingoed.co.uk/,2,Ali Syed Arsalan,Ronak Vyas,101-250,1,Seed,"May 3, 2016","£ 10,000.00",Seed,"£ 10,000.00",1,,,,
FitPhilia Solutions Private Limited,CRM,Fitness,Mumbai,Maharashtra,We are a vertical SaaS company that helps gym owners increase revenue by improving engagement and increasing retention at their centers,400093,—,"Sep 15, 2015",thefitway.io,1,Nirav Patil,,Nov-50,1,Seed,"Jan 14, 2020",—,Seed,—,1,,,,
Orento,Marketplace,,Gurgaon,Haryana,A marketplace for industrial equipment rentals.,—,$1M to $10M,"Jul 2, 2016",www.orento.co,—,,,01-Oct,1,Seed,"Sep 16, 2016","₹ 40,00,000.00",Angel,"₹ 40,00,000.00",1,,,,
Wimoxez,Artificial Intelligence (AI),Internet,Hyderabad,Andhra Pradesh,"Wimoxez - Data, Insights and Intelligence media platform to inspect how technology and business will change existence in the future.",—,—,"Jul 27, 2016",www.wimoxez.com/,1,Abhi Nandan,,01-Oct,1,Seed,"Aug 10, 2018","$ 20,000.00",Seed,"$ 20,000.00",—,,,,
Ecofarm,Agriculture,Supply Chain Management,Coimbatore,Tamil Nadu,On-demand Farmer to Retailer Vegetable delivery,641006,Less than $1M,2016,www.ecofarm.co.in,4,Mallikarjun Gaddam,Raghul Rajeswaran,Nov-50,1,Seed,"Feb 1, 2016","$ 75,000.00",Angel,"$ 75,000.00",—,,,,
Senzopt Technologies,Energy,Industrial Automation,Bangalore,Karnataka,Senzopt Technologies is a smart building startup working on Energy efficiency and indoor air quality control.,560034,—,"Oct 23, 2015",www.senzopt.com,3,Manjunath Hebbar,Satya Gupta,Nov-50,1,Seed,"Oct 23, 2015",—,Seed,—,3,Satya Gupta,Ravi Srinivasan,,
C3C,Environmental Consulting,Mobile Apps,Hyderabad,Andhra Pradesh,"C3C- App to make City Commute Happier. C3C is Chic Carpool, Cabpool, Public transport, Social app for mitigating traffic &Pollution",—,—,"Nov 1, 2015",www.c3c.in/a,1,Manasa Munagala,,01-Oct,2,Seed,"Feb 1, 2017","$ 30,000.00",Seed,"$ 60,000.00",—,,,,
FinEffi Solutions,Commercial,Energy,Nagpur,Maharashtra,FinEffi Solutions is a Trusted Partner In Energy Cost Reduction.,440022,—,2016,fineffi.com/,2,Bhavana Chittawar,Kunal Gadre,01-Oct,1,Seed,"May 27, 2019","$ 10,000.00",Seed,"$ 10,000.00",1,,,,
Mobikart.com,Consumer Electronics,E-Commerce,Nasik,Maharashtra,Mobikart is an ecosystem for everything mobile.,422007,$1M to $10M,"Sep 27, 2015",www.mobikart.com,1,Ruturaj Kohok,,Nov-50,1,Seed,"May 21, 2016","$ 1,50,000.00",Angel,"$ 1,50,000.00",—,,,,
"iodParts Technologies, Inc.",Advertising,Electronics,Pune,Maharashtra,Electronic Component Marketplace,411014,Less than $1M,"Nov 18, 2015",www.iodparts.com,2,Abhinav Anand,Sanjay Vamja,Nov-50,1,Seed,"Nov 18, 2015","$ 20,000.00",Seed,"$ 20,000.00",—,,,,
Afinoz Digitalizing Finance,Apps,Artificial Intelligence (AI),Noida,Uttar Pradesh,Afinoz is India's leading Financial Marketplace which provides every kind of financial services without charging any fee to customer.,201301,$1M to $10M,"Oct 15, 2015",www.afinoz.com,3,Er Rachna Suneja,Pawneshwar Datt Rai,51-100,1,Seed,"Dec 13, 2019",—,Seed,—,1,,,,
Gozocabs (Gozo technologies Pvt Ltd),Transportation,Travel,Gurgaon,Haryana,Long distance travel platform connecting travelers with top quality operators. Delivering consistent quality & experience with fair pricing,122002,—,"Nov 2, 2015",www.gozocabs.com,2,Deepesh Arora,Sanjay Kumar Kedia,Nov-50,1,—,"Mar 4, 2019",—,Venture - Series Unknown,—,—,,,,
EvueMe Selection Robot,Artificial Intelligence (AI),Internet,New Delhi,Delhi,EvueMe Selection Robot is an AI-powered cloud-based platform for admission and assessment solutions.,—,—,2016,evueme.ai/,1,Rupak Agarwal,,Nov-50,1,Seed,"Jul 22, 2021",—,Seed,—,3,Village Capital,Aspen Network of Development Entrepreneurs,,
Izake Design & Consultancy (P) Limited,Electronic Health Record (EHR),Health Diagnostics,Guwahati,Assam,"We do UX design for all types of Mobile App interface, Web applications.",781022,—,"Jan 2, 2016",izakedesign.com/,1,Himujjall Sarmah,,01-Oct,1,Seed,"Jul 2, 2019","$ 33,612.00",Pre-Seed,"$ 33,612.00",1,,,,
Mench Technologies Private Limited,Billing,CRM,Hyderabad,Andhra Pradesh,Growth Hackers for Offline Retailers,500032,—,Jul-16,www.billez.in,2,Sumit Nagpal,Varun Kashyap,01-Oct,2,Seed,"Nov 15, 2016",—,Angel,—,2,Zareen Ranka,,,
Liftiee,Online Auctions,Price Comparison,Mumbai,Maharashtra,Liftiee app says that the startup offers price as low as INR 10 for the first 3 km.,400064,Less than $1M,"Jan 2, 2016",liftiee.com,2,Rashid Khan,Zeeshan Ali,01-Oct,1,Seed,"Mar 17, 2016","$ 1,08,000.00",Seed,"$ 1,08,000.00",2,Anita Hassanandani,,,
Monsoon CreditTech,Artificial Intelligence (AI),Financial Services,Gurgaon,Haryana,Machine learning powered credit underwriting and analytics platform,122001,—,Sep-16,monsoonfintech.com/,1,Ashwini Anand Pillutla,,Nov-50,2,—,"Nov 9, 2022",—,Venture - Series Unknown,—,9,Rajan Anandan,Akash Bhanshali,Sunil Kalra,Aditya Singh
Simpler Utilities Private Limited,Delivery Service,Laundry and Dry-cleaning,Pune,Maharashtra,"Simpler Utilities or just Simpler is an On Demand Laundry Service based out of Pune, India.",—,—,"Mar 20, 2016",www.getsimpler.in/,2,Akshay Tikhe,Ameya Adhyapak,01-Oct,1,Seed,"Jul 1, 2016","$ 20,000.00",Seed,"$ 20,000.00",—,,,,
CaterNinja.com,Catering,E-Commerce,Mumbai,Maharashtra,India's first catering marketplace to search and place catering orders online,400079,$1M to $10M,2016,www.new.caterninja.com,2,Anup Agarwal,Anurag Mishra,Nov-50,1,Seed,"Feb 28, 2020",—,Pre-Seed,—,1,,,,
The Metropolitan School of Music,Music,Music Education,Gurgaon,Haryana,The Metropolitan School of Music offers music training through in-person and digital classrooms.,122018,—,Sep-15,www.musicschool.live/,2,Ritu Nath,Sugato Das,Nov-50,1,Seed,"Jun 1, 2016","$ 2,00,000.00",Seed,"$ 2,00,000.00",1,,,,
Learning Matters,E-Learning,Education,Bengaluru,Karnataka,"Learning Matters is an Ed-tech company offering educational programs via voice-assisted technology for teachers, educators, and students.",560 011,$1M to $10M,2016,learningmatters.ai/,3,Gowri Mahesh,Ramamoorthy G.,Nov-50,1,—,"Jan 1, 2022",—,Venture - Series Unknown,—,1,,,,
PawsIndia,E-Commerce,,Andheri,Maharashtra,PawsIndia offers pet care products.,400072,$1M to $10M,2016,pawsindia.com/,2,Priyam Singh,Sujay Singh,01-Oct,1,Seed,"Sep 27, 2019",—,Seed,—,—,,,,
Durga Energy,Energy,Manufacturing,Dungarpur,Rajasthan,Durga Energy  is a manufacturing Company.,314001,—,2016,durgaenergy.com/,1,Rukmani Katara,,Nov-50,1,Seed,"May 27, 2019","$ 10,000.00",Seed,"$ 10,000.00",1,,,,
Scholr,Artificial Intelligence (AI),Education,Mumbai,Maharashtra,Scholr provides on-demand homework help and personal learning assistance to school students through artificial intelligence and real tutors.,400001,$1M to $10M,"Dec 1, 2015",www.scholr.com,3,Himanshu Nimje,Manil Gupta,Nov-50,2,M&A,"Jan 1, 2019",—,Venture - Series Unknown,—,3,Xseed Partners,IIIT-H Seed Fund,,
Parentlane,Internet,Social Network,,,"Parentlane, is a social parenting platform empowering parents by delivering personalized, timely assistance to raise smart & healthy kids!",560095,—,"Dec 9, 2015",www.parentlane.com,2,India,Asia-Pacific (APAC),01-Oct,2,M&A,"Sep 23, 2016",—,Venture - Series Unknown,—,10,Capier Investments,Sumit Jain,Aprameya Radhakrishna,
Supertext,Artificial Intelligence (AI),B2B,Bengaluru,Karnataka,"Supertext helps businesses use chatbots/ conversation AI/ automation for sales, customer support, brand engagment and HR",—,$1M to $10M,"Dec 14, 2015",supertext.ai,2,Avinash Hegde,Mathew Padayatty,Nov-50,1,Seed,"Apr 18, 2016",—,Angel,—,2,Startupbootcamp FinTech Singapore,,,
Naturenama,Adventure Travel,E-Commerce,Mumbai,Maharashtra,Naturenama is the bridge between you and the great outdoors.,400054,$1M to $10M,2016,naturenama.com,1,Shaunak Modi,,01-Oct,1,Seed,"Jun 21, 2016","$ 2,25,000.00",Seed,"$ 2,25,000.00",1,,,,
RedSky Technologies,Consulting,IT Management,Mumbai,Maharashtra,RedSky Technologies is a single unified platform for retail.,—,$1M to $10M,2016,rdskytech.com,4,Aman Pruthi,Ankit Karamchandani,Nov-50,1,Seed,"Jun 8, 2019",—,Seed,—,1,,,,
Caller Desk.io,Call Center,Information Technology,Noida,Uttar Pradesh,Callerdesk is a cloud call center ( CCaaS ) Solution providing ready -to-use Voice communication platform for businesses.,201301,—,"Apr 30, 2016",callerdesk.io,2,Kaushal Bansal,Rajesh Dimania,Nov-50,1,Seed,"Oct 1, 2022",—,Seed,—,—,,,,
Commutec,Logistics,SaaS,Mumbai,Maharashtra,Manage Corporate Transportation with Technology,400703,$1M to $10M,"Nov 22, 2016",commutec.in,3,Randeep Lobana,Randeep Singh,Nov-50,2,Seed,"Jan 1, 2020",—,Pre-Seed,—,2,CIBA Centre for Incubation and Business Acceleration,,,
Yappes,Information Technology,Internet,Bengaluru,Karnataka,Simplifying APIs,—,$1M to $10M,2016,yappes.com/,2,Bhanu Kumar,Rajagopal Somasundaram,01-Oct,1,Seed,"Aug 5, 2016",—,Seed,—,1,,,,
Fliona,E-Commerce,Women's,Hyderabad,Andhra Pradesh,Fliona is an e-Commerce website for custom made hand bags which allows the buyer to decide their customization budget.,—,—,2016,www.fliona.com,—,,,—,1,Seed,"Jul 31, 2016","$ 29,900.00",Seed,"$ 29,900.00",1,,,,
Andor Communications Private Limited,Apps,Artificial Intelligence (AI),Delhi,Delhi,An imaging and AI enabler technology company working on next level of mobile solutions.,110091,—,"Dec 10, 2015",lightxapp.com/,5,Naveen Mishra,Nitin Gautam,01-Oct,1,Seed,"Nov 29, 2021",—,Seed,—,1,,,,
Tao Automation,Digital Media,Information Services,Bangalore,Karnataka,Tao Automation is one of the top 20 Robotic Process Automation Service Provider.,560095,—,2016,taoautomation.com/,2,Arjun Vaznaik,Praveen Pahwa,101-250,1,Seed,"Nov 22, 2017",—,Seed,—,2,Arihant Patni,,,
UbeDigs,Online Portals,Real Estate,Hyderabad,Andhra Pradesh,UbeDigs is a free online rental service designed to help rental property owners to rent and manage their property online!,—,Less than $1M,"Sep 9, 2015",www.ubedigs.com,1,Ube Digs,,01-Oct,1,Seed,"Dec 9, 2015","$ 1,00,000.00",Seed,"$ 1,00,000.00",1,,,,
ThirdWatch,Artificial Intelligence (AI),E-Commerce,Gurgaon,Haryana,"Thirdwatch prevents fraud in digital, banking and e-commerce transactions in real time using AI. https://www.youtube.com/watch?v=_0BeScGNp8A",122002,—,"May 10, 2016",www.thirdwatch.ai/,2,Adarsh Jain,Shashank Agarwal,01-Oct,1,M&A,"Oct 10, 2017",—,Seed,—,2,Keshav Sanghi,,,
startelelogic,Consulting,E-Commerce,Noida,Uttar Pradesh,We enable digital transformation for enterprises by delivering seamless software development services to increase business efficiency.,201301,$10M to $50M,"Oct 20, 2016",www.startelelogic.com/,1,Umesh Pande,,101-250,1,Seed,"Feb 2, 2018",—,Pre-Seed,—,—,,,,
GLAMY.in (Adcare),Beauty,E-Commerce,Haryana,Haryana,Book beauty & wellness appointments on the go!,122001,$1M to $10M,"Oct 16, 2015",www.glamy.in,2,Mayank Gupta,Rajeev Kumar,Nov-50,1,Seed,"Jan 26, 2016","$ 20,500.00",Seed,"$ 20,500.00",—,,,,
Machaoo,Apps,Consumer Goods,Mumbai,Maharashtra,Exotic Traditional Indian Heritage Perfumery Store,400083,$1M to $10M,"Aug 27, 2016",www.machaoo.com,—,,,Nov-50,1,Seed,"Dec 1, 2016","$ 15,000.00",Seed,"$ 15,000.00",1,,,,
Vite Car Services LLP,Automotive,E-Commerce,Jaipur,Rajasthan,Providing Online Car Maintenance Services in Jaipur via online mobile application - VITE,302033,—,"Apr 13, 2016",www.vite.co.in/,2,Ravi Gupta,Umesh Sobhrajani,01-Oct,1,Seed,"May 13, 2016","$ 20,000.00",Seed,"$ 20,000.00",—,,,,
F(x) Data Labs,Artificial Intelligence (AI),Database,Ahmedabad,Gujarat,F(x) Data Labs is an IT firm working on H+tree - 300% faster database and the data science lab providing  top-notch managed services.,380009,—,"Dec 7, 2015",htree.plus,2,Hemen Ashodia,Pavan Bakeri,Nov-50,1,Seed,"Dec 7, 2015",—,Angel,—,—,,,,
Drones Tech Lab,AgTech,Drone Management,Kolkata,West Bengal,"Manufacturer and distributor of surveillance drones and drone camera in Kolkata including DJI drone camera,Mi/Xiaomi Drone Camera, 3DR Solo",700104,—,"Apr 26, 2016",www.dronestechlabs.com,2,Biswajit Dey,Ritesh Kanu,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,1,,,,
Neelamber Commercial Transport Exchange Pvt. Ltd.,Automotive,E-Commerce,Indore,Madhya Pradesh,Online Exchange of Commercial Trasportation,452001,—,"Sep 21, 2015",,1,Sanchita Gupta,,01-Oct,2,Seed,"Sep 25, 2015","$ 1,00,000.00",Seed,"$ 1,10,000.00",2,Sanchita Gupta,,,
Bog Orchid,Biotechnology,Machinery Manufacturing,Chennai,Tamil Nadu,Bog Orchid manufactures mosquito killing machines.,600113,—,2016,bogorchid.com/,—,,,01-Oct,2,Seed,"Jan 30, 2019",—,Seed,—,2,VenturEast,,,
FirstU,Consumer,Service Industry,Bangalore,Karnataka,FirstU providing a subscription-based service for vehicle maintenance.,560001,—,2016,firstu.in/,2,Anwar Sadad,Muhammed Rizvan,Nov-50,1,Seed,"Nov 26, 2019",—,Seed,—,3,India Quotient,Farooq Adam,,
Logo Infosoft,SaaS,Software,Mumbai,Maharashtra,Logo Infosoft provides innovative solutions for businesses with a focus on digital billing.,400703,$100M to $500M,"Dec 8, 2016",www.logoinfosoft.com,—,,,101-250,1,Seed,"Dec 8, 2016",—,Seed,—,2,Afzal Modak,,,
visionbot.com,Artificial Intelligence (AI),Computer Vision,Bangalore,Karnataka,Computer Vision as Service Platform,560001,—,"Dec 19, 2016",visionbot.com/,3,Amit Chakraborty,Joseph Barr,Nov-50,1,Seed,"Mar 31, 2020",—,Pre-Seed,—,—,,,,
DISCOUNTSTATUS,Coupons,E-Commerce,Noida,Uttar Pradesh,Discount Status is an India-based company that helps find discounts in the nearest malls and local stores.,—,—,"Apr 12, 2016",www.discountstatus.com,—,,,01-Oct,1,Seed,"Apr 12, 2016","$ 1,000.00",Seed,"$ 1,000.00",—,,,,
