Company,Funding Round,Amount,Date,RupeesAmount,dollarAmt,CID
Manjeera Group,Venture - Series Unknown,—,"May 16, 2010",0,0,CID8842
Teledata Informatics,Venture - Series Unknown,—,"Apr 10, 2007",0,0,CID8843
GPT Steel Industries,Private Equity,—,"Jul 24, 2006",0,0,CID8844
Yatra,Debt Financing,—,"Dec 31, 2011",0,0,CID8845
Cepha Imaging,Private Equity,—,"Dec 1, 2005",0,0,CID8846
HummingBird,Series A,"$4,000,000","Aug 12, 2008",300000000,3600000,CID8847
MokshaYug Access (MYA),Venture - Series Unknown,"$2,000,000","Mar 17, 2008",150000000,1800000,CID8848
Mahindra Rise,Post-IPO Equity,"$60,000,000","Jul 1, 2008",4500000000,54000000,CID8849
Iven Medicare,Venture - Series Unknown,"$24,000,000","Jan 16, 2008",1800000000,21600000,CID8850
Lavasa Corporation,Venture - Series Unknown,—,"Apr 1, 2009",0,0,CID8851
MapmyIndia,Series B,"$25,000,000","Aug 10, 2007",1875000000,22500000,CID8852
Samson Maritime,Private Equity,"₹65,000,000","Jan 1, 2008",65000000,780000,CID8853
Himalaya,Post-IPO Equity,—,"Mar 20, 2009",0,0,CID8854
Three Platinum Softech,Venture - Series Unknown,—,"Dec 1, 2011",0,0,CID8855
Brightcom Group (formerly LYCOS Internet Ltd),Venture - Series Unknown,"$48,000,000","Jan 18, 2011",3600000000,43200000,CID8856
ADHPL,Private Equity,"$15,000,000","Jan 28, 2010",1125000000,13500000,CID8857
PropertyFirst.com,Series A,—,"Mar 17, 1999",0,0,CID8858
Aarvee Associates,Series A,—,"Jan 1, 1989",0,0,CID8859
Saaol Health,Pre-Seed,"₹100,000","Aug 12, 1994",100000,1200,CID8860
CMR,Venture - Series Unknown,"₹250,000,000","Jun 6, 2011",250000000,3000000,CID8861
Synergies Castings,Venture - Series Unknown,—,"Jun 29, 2010",0,0,CID8862
Career planet Infotech,Series C,"$2,000,000","Mar 3, 2011",150000000,1800000,CID8863
LIQVID,Series A,"$1,000,000","Jan 1, 2010",75000000,900000,CID8864
Suvidhaa,Series A,—,"Jan 1, 2008",0,0,CID8865
Reasoning Global eApplications Ltd.,Series A,"$1,550,000","Jan 1, 2008",116250000,1395000,CID8866
Perfect Pincode,Seed,"₹175,700,000","Mar 1, 2012",175700000,2108400,CID8867
KMC Constructions Limited,Private Equity,"₹5,000,000,000","Mar 28, 2011",5000000000,60000000,CID8868
Caravel Logistics,Private Equity,"$5,160,000","Jul 1, 2009",387000000,4644000,CID8869
Sea6 Energy,Angel,"$2,000,000","Oct 1, 2010",150000000,1800000,CID8870
N K Proteins,Venture - Series Unknown,—,"Nov 3, 2010",0,0,CID8871
Eco Recycling Limited,Post-IPO Equity,—,"Jan 15, 2008",0,0,CID8872
ReachTax,Seed,—,"Aug 13, 2009",0,0,CID8873
Pipal Tree Ventures,Seed,"₹22,500,000","Nov 15, 2010",22500000,270000,CID8874
MyCare,Venture - Series Unknown,"$999,999","Jan 26, 2012",74999925,899999.1,CID8875
Indian Energy Exchange,Venture - Series Unknown,"₹700,000,000","Dec 30, 2010",700000000,8400000,CID8876
Kam Avida,Private Equity,—,"Aug 25, 2008",0,0,CID8877
Shiram Credit,Venture - Series Unknown,"$15,000,000","Sep 18, 2011",1125000000,13500000,CID8878
Society For Orphan Neglected And Youths,Seed,"$30,000","Apr 15, 2004",2250000,27000,CID8879
DishnetDSL,Corporate Round,"$22,900,000","Mar 17, 2000",1717500000,20610000,CID8880
Moolchand Healthcare,Venture - Series Unknown,"$22,000,000","Sep 23, 2011",1650000000,19800000,CID8881
MobiKwik,Seed,"$500,000","Sep 16, 2010",37500000,450000,CID8882
SwaaS Systems Private Limited,Venture - Series Unknown,—,"Jan 1, 2009",0,0,CID8883
InstaColl,Venture - Series Unknown,—,"Mar 15, 2007",0,0,CID8884
NEL Holdings South,Venture - Series Unknown,—,"Mar 25, 2009",0,0,CID8885
Aurality,Seed,"$300,000","Mar 19, 2012",22500000,270000,CID8886
Rinac India,Private Equity,—,"Feb 1, 2012",0,0,CID8887
Inkfruit,Series A,"$3,000,000","Jan 24, 2011",225000000,2700000,CID8888
Attero,Series B,"$3,300,000","Aug 9, 2010",247500000,2970000,CID8889
burrp!,Series A,"$2,000,000","Nov 1, 2007",150000000,1800000,CID8890
Shriram Land Development India,Private Equity,"$12,000,000","Sep 1, 2008",900000000,10800000,CID8891
MT Educare,Private Equity,"$12,000,000","Aug 29, 2007",900000000,10800000,CID8892
Rebel Foods,Series A,"$8,000,000","Jan 1, 2011",600000000,7200000,CID8893
Salarpuria,Private Equity,—,"Aug 22, 2008",0,0,CID8894
BVG India,Private Equity,—,"Jan 1, 2011",0,0,CID8895
Picsean,Seed,—,"Aug 13, 2009",0,0,CID8896
SMEClabs,Series A,"$15,000","Feb 2, 2001",1125000,13500,CID8897
GV Meditech,Venture - Series Unknown,—,"Apr 28, 2010",0,0,CID8898
Deccan Charters,Venture - Series Unknown,—,"Apr 22, 2006",0,0,CID8899
NTT Global Networks,Series B,"$35,000,000","Oct 15, 2001",2625000000,31500000,CID8900
Mu Sigma,Private Equity,"$30,000,000","Sep 24, 2008",2250000000,27000000,CID8901
IARC,Private Equity,—,"Mar 1, 2006",0,0,CID8902
Ferrousworks,Seed,"₹1,000,000","Jan 1, 2011",1000000,12000,CID8903
Oorjita Projects,Venture - Series Unknown,—,"May 15, 2012",0,0,CID8904
Sahyadri Hospitals,Secondary Market,"₹1,900,000,000","May 3, 2012",1900000000,22800000,CID8905
Trinethra,Private Equity,"₹80,000,000","Aug 1, 2000",80000000,960000,CID8906
Brightcom Group (formerly LYCOS Internet Ltd),Venture - Series Unknown,"$20,000,000","Dec 5, 2007",1500000000,18000000,CID8907
SuccessNexus.com,Seed,"$75,000","Dec 1, 2010",5625000,67500,CID8908
Paras Pharmaceuticals Ltd,Private Equity,"₹1,000,000,000","Jul 21, 2006",1000000000,12000000,CID8909
CRIF High Mark Credit Information Services,Seed,"$1,000,000","Feb 13, 2009",75000000,900000,CID8910
Veeda Clinical Research,Private Equity,—,"Jan 1, 2007",0,0,CID8911
Brookefield Hospital,Venture - Series Unknown,—,"Mar 1, 2011",0,0,CID8912
Bhilwara Energy,Private Equity,"$50,000,000","Jul 12, 2010",3750000000,45000000,CID8913
ideacts innovations,Venture - Series Unknown,"$5,000,000","Jul 3, 2008",375000000,4500000,CID8914
Utkarsh Micro Finance,Series B,"$3,640,000","Sep 11, 2011",273000000,3276000,CID8915
Bafna,Venture - Series Unknown,—,"Jul 1, 2008",0,0,CID8916
Jabong.com,Seed,—,"Sep 30, 2010",0,0,CID8917
Grama Vidiyal Micro Finance,Venture - Series Unknown,"$4,000,000","Jun 16, 2009",300000000,3600000,CID8918
ICOMM Tele,Private Equity,"₹700,000,000","Feb 1, 2008",700000000,8400000,CID8919
Disruptive By Design,Seed,"$10,000","May 1, 2011",750000,9000,CID8920
Vishal Retail,Venture - Series Unknown,—,"Sep 1, 2005",0,0,CID8921
Skymet Weather,Series A,"$900,000","Aug 5, 2011",67500000,810000,CID8922
Tanglin,Private Equity,"$86,000,000","Mar 1, 2007",6450000000,77400000,CID8923
Tejas Networks India,Private Equity,—,"Sep 30, 2010",0,0,CID8924
Venture Infotek Global Private,Venture - Series Unknown,"$20,000,000","Nov 20, 2007",1500000000,18000000,CID8925
Anantara Solutions Private Limited,Series A,"$6,500,000","May 17, 2007",487500000,5850000,CID8926
Saraya,Venture - Series Unknown,"₹887,000,000","Jan 1, 2006",887000000,10644000,CID8927
Karvy Group,Private Equity,"₹5,000,000,000","Nov 16, 2007",5000000000,60000000,CID8928
Quatrro,Venture - Series Unknown,"$13,000,000","Apr 1, 2010",975000000,11700000,CID8929
Tech Integrated,Seed,"$500,000","Jul 8, 2011",37500000,450000,CID8930
S.R. FOILS,Venture - Series Unknown,—,"Nov 15, 2005",0,0,CID8931
DiagnoSearch Life Sciences,Private Equity,"₹354,000,000","Aug 27, 2009",354000000,4248000,CID8932
International Auto,Venture - Series Unknown,"₹438,500,000","Aug 1, 2005",438500000,5262000,CID8933
Zepo,Seed,—,"Jun 1, 2011",0,0,CID8934
"Sharekhan Limited, India",Debt Financing,"$176,000,000","Aug 1, 2007",13200000000,158400000,CID8935
Mauj Mobile,Venture - Series Unknown,"$10,000,000","Feb 23, 2006",750000000,9000000,CID8936
Kumar Urban Development Limited,Venture - Series Unknown,"$13,000,000","May 2, 2012",975000000,11700000,CID8937
SSI Education,Private Equity,"$75,000,000","Dec 1, 2003",5625000000,67500000,CID8938
Lotus Eye Hospital and Institute,Venture - Series Unknown,—,"Jan 1, 2008",0,0,CID8939
BSR Super Speciality Hospitals,Private Equity,"$10,000,000","Dec 14, 2010",750000000,9000000,CID8940
IL&FS Education & Technology Services Ltd.,Private Equity,"₹1,720,000,000","Jan 27, 2010",1720000000,20640000,CID8941
Vyome Therapeutics,Seed,"$1,000,000","Nov 1, 2010",75000000,900000,CID8942
Ziqitza Health Care,Series A,"$1,500,000","Mar 7, 2007",112500000,1350000,CID8943
Marwadi Shares and Finance,Venture - Series Unknown,"₹396,000,000","Mar 27, 2007",396000000,4752000,CID8944
Maini Precision Products,Venture - Series Unknown,"₹505,700,000","Nov 1, 2011",505700000,6068400,CID8945
Goli Vada Pav Pvt. Ltd.,Venture - Series Unknown,—,"Aug 1, 2011",0,0,CID8946
Clari5 (CustomerXPs),Series A,"$4,000,000","Jun 14, 2011",300000000,3600000,CID8947
Tushky,Seed,"$65,000","Jun 1, 2011",4875000,58500,CID8948
Gitanjali Group,Post-IPO Equity,—,"Oct 1, 2011",0,0,CID8949
Reva,Private Equity,—,"Nov 1, 2006",0,0,CID8950
ApnaPaisa,Series B,"$15,000,000","Dec 1, 2007",1125000000,13500000,CID8951
Ksl & Industries,Venture - Series Unknown,—,"Nov 1, 2007",0,0,CID8952
Dexetra,Seed,"$200,000","Oct 17, 2011",15000000,180000,CID8953
Eatz,Equity Crowdfunding,—,"Mar 10, 2011",0,0,CID8954
IARC,Venture - Series Unknown,"₹900,000,000","Nov 18, 2008",900000000,10800000,CID8955
Karadi Path,Venture - Series Unknown,—,"Mar 1, 2012",0,0,CID8956
Paranjape,Venture - Series Unknown,—,"Jun 1, 2010",0,0,CID8957
Oil Field Instrumentation,Venture - Series Unknown,"₹243,100,000","May 1, 2010",243100000,2917200,CID8958
Sokrati,Series A,"$1,030,000","Mar 9, 2011",77250000,927000,CID8959
Studyplaces,Series A,"$3,000,000","Jan 1, 2008",225000000,2700000,CID8960
Triumphant Institute of Management Education,Venture - Series Unknown,"₹450,000,000","Jan 1, 2008",450000000,5400000,CID8961
IndiaMART,Series A,"$10,000,000","Jan 14, 2009",750000000,9000000,CID8962
Achievo,Series A,"$3,555,000","Sep 25, 2002",266625000,3199500,CID8963
Epigamia,Angel,"$628,621","Jan 1, 2011",47146575,565758.9,CID8964
Affle,Series A,—,"Nov 1, 2006",0,0,CID8965
Waterlife India Pvt. Ltd.,Venture - Series Unknown,"₹220,000,000","Dec 13, 2011",220000000,2640000,CID8966
Chalet Hotels,Private Equity,"₹500,000,000","Mar 23, 2005",500000000,6000000,CID8967
Hotelogix,Venture - Series Unknown,"$1,200,000","Apr 11, 2012",90000000,1080000,CID8968
Kaatizone,Venture - Series Unknown,"₹10,000,000","Feb 1, 2009",10000000,120000,CID8969
Spark Minda,Private Equity,—,"Apr 1, 2011",0,0,CID8970
Waterfront Film,Venture - Series Unknown,"₹30,000,000","Jan 1, 2012",30000000,360000,CID8971
PL Engineering,Venture - Series Unknown,—,"May 3, 2010",0,0,CID8972
Nuziveedu Seeds,Private Equity,"₹2,500,000,000","Dec 30, 2008",2500000000,30000000,CID8973
Happiest Minds Technologies,Series A,"$45,000,000","Nov 16, 2011",3375000000,40500000,CID8974
GTL Infrastructure,Post-IPO Equity,—,"Nov 1, 2007",0,0,CID8975
Rebel Foods,Angel,—,"Jul 29, 2010",0,0,CID8976
DBM,Private Equity,"₹1,000,000,000","Feb 18, 2012",1000000000,12000000,CID8977
Asomi Finance,Private Equity,"₹80,000,000","Feb 1, 2009",80000000,960000,CID8978
Vedic Realty,Venture - Series Unknown,—,"Jan 1, 2011",0,0,CID8979
veriCAR,Seed,—,"Aug 13, 2009",0,0,CID8980
eClerx,Post-IPO Secondary,"$430,000,000","Aug 14, 2009",32250000000,387000000,CID8981
Auro Mira Energy,Series B,"$21,000,000","Sep 28, 2010",1575000000,18900000,CID8982
Tebma Shipyards,Venture - Series Unknown,—,"Feb 1, 2007",0,0,CID8983
LT Foods,Venture - Series Unknown,—,"Jul 5, 2006",0,0,CID8984
Moolchand Healthcare,Venture - Series Unknown,"₹1,000,000,000","May 10, 2012",1000000000,12000000,CID8985
Elbex Couriers Service,Venture - Series Unknown,—,"May 15, 2012",0,0,CID8986
TVS Logistics Services,Venture - Series Unknown,"$53,000,000","Apr 21, 2012",3975000000,47700000,CID8987
SureWaves,Series A,"₹100,000,000","Aug 4, 2011",100000000,1200000,CID8988
Akshayini Oorja Private Ltd,Venture - Series Unknown,—,"Feb 1, 2010",0,0,CID8989
Sudhir Power,Private Equity,"$75,000,000","Sep 27, 2007",5625000000,67500000,CID8990
HealthHiway,Venture - Series Unknown,"$4,000,000","Sep 4, 2009",300000000,3600000,CID8991
ideacts innovations,Series B,—,"Apr 30, 2009",0,0,CID8992
reQall,Seed,"$2,500,000","Mar 6, 2008",187500000,2250000,CID8993
Zomato,Seed,"₹47,000,000","Aug 1, 2010",47000000,564000,CID8994
NetAmbit,Series C,"₹550,000,000","Apr 27, 2011",550000000,6600000,CID8995
Redington,Private Equity,"$65,000,000","Oct 12, 2008",4875000000,58500000,CID8996
Promac Engineering Industries,Private Equity,"$8,000,000","Apr 1, 2007",600000000,7200000,CID8997
YLG Salon,Series B,—,"May 23, 2012",0,0,CID8998
Coffee Day Beverages,Private Equity,"$75,000,000","Mar 31, 2010",5625000000,67500000,CID8999
Apalya Technologies,Series B,"$3,000,000","Oct 1, 2009",225000000,2700000,CID9000
Apalya Technologies,Venture - Series Unknown,"$500,000","Aug 6, 2008",37500000,450000,CID9001
StarAgri,Private Equity,"$30,000,000","Feb 23, 2012",2250000000,27000000,CID9002
Rajesh Exports,Venture - Series Unknown,—,"Dec 1, 2005",0,0,CID9003
GMP Companies,Series A,"$17,200,000","Jan 9, 2007",1290000000,15480000,CID9004
Shaadi.com,Venture - Series Unknown,"$8,000,000","Mar 10, 2006",600000000,7200000,CID9005
Gokaldas Images,Venture - Series Unknown,"₹450,000,000","Jan 16, 2006",450000000,5400000,CID9006
CustomerAsset,Series B,"$9,000,000","Jul 5, 2001",675000000,8100000,CID9007
Zovi,Series A,"$5,500,000","Jul 5, 2011",412500000,4950000,CID9008
Ridlr,Seed,"₹20,000,000","Jan 1, 2012",20000000,240000,CID9009
Ola,Series A,"$5,000,000","Apr 10, 2012",375000000,4500000,CID9010
Equitas Holdings,Seed,"$1,500,000","Mar 1, 2008",112500000,1350000,CID9011
Austral Coke and Projects,Venture - Series Unknown,—,"Oct 1, 2008",0,0,CID9012
Karuturi Global,Post-IPO Equity,—,"May 1, 2011",0,0,CID9013
RobotsAlive,Seed,—,"Aug 13, 2009",0,0,CID9014
Naaptol,Series B,"$25,000,000","Oct 20, 2011",1875000000,22500000,CID9015
sulekha.com,Series A,"$10,000,000","Jan 1, 2006",750000000,9000000,CID9016
Babyoye,Seed,—,"Dec 1, 2011",0,0,CID9017
Duron Energy,Venture - Series Unknown,—,"Sep 30, 2011",0,0,CID9018
CodeNxt Web Technologies Private Limited,Seed,"₹400,000","Jul 1, 2010",400000,4800,CID9019
Micromax Informatics,Venture - Series Unknown,"$45,000,000","Jan 12, 2010",3375000000,40500000,CID9020
Kumudam,Seed,"₹17,000,000","Feb 5, 2007",17000000,204000,CID9021
Sejal Glass,Venture - Series Unknown,—,"Jun 1, 2011",0,0,CID9022
Vaatsalya Healthcare,Venture - Series Unknown,"$10,000,000","Jun 1, 2011",750000000,9000000,CID9023
Apollo Hospitals Enterprise,Post-IPO Equity,"$100,000,000","Sep 3, 2007",7500000000,90000000,CID9024
TravelGuru,Venture - Series Unknown,"$15,000,000","Nov 29, 2006",1125000000,13500000,CID9025
Shriram Properties,Private Equity,"$100,000,000","Nov 12, 2011",7500000000,90000000,CID9026
EduKart,Seed,"$500,000","Apr 1, 2011",37500000,450000,CID9027
nwplyng,Seed,"$40,000","Apr 1, 2012",3000000,36000,CID9028
Sambandh Finserve,Venture - Series Unknown,"₹23,400,000","Oct 1, 2009",23400000,280800,CID9029
FLUIDS MULTIMEDIA PRIVATE LIMITED,Pre-Seed,"$250,000","Sep 8, 2009",18750000,225000,CID9030
CarWale,Seed,—,"Dec 14, 2006",0,0,CID9031
PR Packagings,Venture - Series Unknown,"₹150,000,000","Apr 8, 2011",150000000,1800000,CID9032
NEO Sports,Venture - Series Unknown,—,"Mar 8, 2010",0,0,CID9033
Aspiring Minds,Series A,—,"Nov 9, 2011",0,0,CID9034
Wild East Group,Angel,—,"Dec 10, 2010",0,0,CID9035
Innoz,Seed,—,"Apr 1, 2012",0,0,CID9036
Vijayawada Tollway Private Ltd,Private Equity,—,"Sep 1, 2008",0,0,CID9037
Omega Shelters,Venture - Series Unknown,—,"Feb 1, 2012",0,0,CID9038
igadget.asia,Angel,"$10,000","Jan 1, 2012",750000,9000,CID9039
Nimbus Communications,Private Equity,"$125,000,000","Jan 22, 2007",9375000000,112500000,CID9040
U2opia Mobile,Series A,—,"Sep 29, 2011",0,0,CID9041
Prataap Snacks Limited,Series A,"$30,000,000","Jun 27, 2011",2250000000,27000000,CID9042
Accendo Technologies,Angel,"$1,560,000","Jan 25, 2005",117000000,1404000,CID9043
Karmic Lifesciences,Series B,—,"May 28, 2010",0,0,CID9044
Loylty Rewardz Management,Venture - Series Unknown,"₹60,000,000","Nov 10, 2009",60000000,720000,CID9045
SunBorne Energy,Venture - Series Unknown,"$5,000,000","Dec 16, 2009",375000000,4500000,CID9046
Eubios Therapeutica Private Limited,Venture - Series Unknown,"$490,000","Aug 22, 2010",36750000,441000,CID9047
Perfint Healthcare,Series A,"$3,500,000","Dec 1, 2007",262500000,3150000,CID9048
Emergent Ventures India,Series A,"$10,040,000","Apr 6, 2008",753000000,9036000,CID9049
Universal Power Transformer,Private Equity,"$15,000,000","Mar 4, 2008",1125000000,13500000,CID9050
NTT Global Networks,Venture - Series Unknown,"$5,136,706","May 21, 2010",385252950,4623035.4,CID9051
Shamit Buildcon,Venture - Series Unknown,—,"Mar 22, 2012",0,0,CID9052
Infogile Technologies,Seed,"$20,000","May 4, 2007",1500000,18000,CID9053
Manipal Group,Private Equity,"$30,000,000","Jun 1, 2006",2250000000,27000000,CID9054
HumanCloud,Seed,"$400,000","Jun 1, 2011",30000000,360000,CID9055
Via.com,Venture - Series Unknown,"$10,000,000","Jan 22, 2010",750000000,9000000,CID9056
Affle,Series B,—,"Feb 11, 2009",0,0,CID9057
Sahyadri Hospitals,Venture - Series Unknown,"₹1,400,000,000","Jan 10, 2008",1400000000,16800000,CID9058
BigBasket,Seed,"₹50,000,000","Dec 1, 2011",50000000,600000,CID9059
VNR Infrastructures,Venture - Series Unknown,"₹201,700,000","Mar 1, 2008",201700000,2420400,CID9060
Drishti Eye Care,Seed,"$366,997","Jan 2, 2012",27524775,330297.3,CID9061
Myntra,Series A,"$5,000,000","Nov 4, 2008",375000000,4500000,CID9062
SKI Capital Services Limited,Series A,—,"Jan 14, 2009",0,0,CID9063
Green Infra Ltd.,Private Equity,"₹80,000,000","Aug 5, 2011",80000000,960000,CID9064
Roshini International Bio Energy,Series A,—,"Jan 1, 2007",0,0,CID9065
Appsdaily Solutions,Series A,"₹180,000,000","Jan 1, 2011",180000000,2160000,CID9066
ING Vysya Bank,Post-IPO Equity,—,"Jun 26, 2005",0,0,CID9067
India Mortgage Guarantee Company,Venture - Series Unknown,"₹800,000,000","Nov 15, 2011",800000000,9600000,CID9068
Myntra,Seed,—,"Jan 1, 2007",0,0,CID9069
Pragma Infotech,Non-equity Assistance,—,"Jun 1, 2010",0,0,CID9070
Smart Habitat,Pre-Seed,—,"Oct 6, 2011",0,0,CID9071
SMC Global Securities,Venture - Series Unknown,—,"Apr 14, 2008",0,0,CID9072
iYogi,Series B,"$9,500,000","Jul 1, 2008",712500000,8550000,CID9073
Prestige Group,Venture - Series Unknown,—,"Feb 8, 2010",0,0,CID9074
Air Works India Engineering,Series A,"$25,000,000","Jan 1, 2007",1875000000,22500000,CID9075
Agarwal Associates,Venture - Series Unknown,—,"Jul 3, 2010",0,0,CID9076
Soci Ads,Seed,"$50,000","Jan 11, 2011",3750000,45000,CID9077
Ritesh Properties and Industries,Post-IPO Equity,—,"Dec 14, 2007",0,0,CID9078
Connect M Solutions,Series B,"$4,000,000","Aug 1, 2010",300000000,3600000,CID9079
Dosti Realty,Venture - Series Unknown,—,"Aug 1, 2008",0,0,CID9080
Nicheken,Venture - Series Unknown,—,"Aug 13, 2010",0,0,CID9081
OSIAN,Venture - Series Unknown,—,"Nov 15, 2005",0,0,CID9082
SLEEPINS,Venture - Series Unknown,—,"Oct 8, 2007",0,0,CID9083
ColdStar Logistics,Venture - Series Unknown,"₹299,000,000","Sep 1, 2010",299000000,3588000,CID9084
Games2win Media,Series B,"$6,000,000","Mar 30, 2011",450000000,5400000,CID9085
Arohan Financial,Venture - Series Unknown,"$1,500,000","Aug 13, 2008",112500000,1350000,CID9086
Indosolar,Venture - Series Unknown,—,"Mar 30, 2010",0,0,CID9087
Dynamatic Technologies,Post-IPO Equity,—,"Jan 1, 2010",0,0,CID9088
Splash,Seed,—,"Mar 1, 2011",0,0,CID9089
Orb Energy,Private Equity,—,"Aug 1, 2006",0,0,CID9090
Bajaj Motors,Private Equity,"$12,000,000","Mar 31, 2007",900000000,10800000,CID9091
atOnePlace.com,Angel,"$250,000","Sep 20, 2008",18750000,225000,CID9092
Sahara India,Venture - Series Unknown,—,"May 1, 2010",0,0,CID9093
Goodwill Developers,Venture - Series Unknown,—,"Sep 15, 2011",0,0,CID9094
Gadgetsguru.com,Venture - Series Unknown,—,"Dec 12, 2011",0,0,CID9095
Suvidhaa,Seed,—,"Dec 1, 2007",0,0,CID9096
Annapurna Pet,Seed,"₹4,800,000","Mar 1, 2012",4800000,57600,CID9097
Littlefeet Inc.,Series C,"$25,000,000","Nov 1, 2002",1875000000,22500000,CID9098
SORIL Infra Resources,Venture - Series Unknown,—,"Aug 30, 2005",0,0,CID9099
Vayavya Labs,Angel,"$1,000,000","Jul 1, 2011",75000000,900000,CID9100
Quikjet,Venture - Series Unknown,"$16,600,000","Feb 1, 2008",1245000000,14940000,CID9101
Yatra,Series C,"$45,000,000","May 27, 2011",3375000000,40500000,CID9102
MyParichay,Seed,"$250,000","Oct 1, 2011",18750000,225000,CID9103
99tests,Seed,"$10,000","Dec 1, 2010",750000,9000,CID9104
SpiceJet Limited,Post-IPO Equity,—,"Jan 30, 2006",0,0,CID9105
Dealsandyou.com,Series A,"$1,500,000","Aug 1, 2010",112500000,1350000,CID9106
AIOCD Pharmasofttech AWACS,Venture - Series Unknown,—,"Jan 19, 2010",0,0,CID9107
The Times Of India,Venture - Series Unknown,"$10,000,000","Jun 29, 2006",750000000,9000000,CID9108
TutorVista,Venture - Series Unknown,"$18,000,000","Jul 24, 2008",1350000000,16200000,CID9109
Applied solar Technologies,Venture - Series Unknown,"$21,000,000","Apr 22, 2010",1575000000,18900000,CID9110
Lodha Group,Venture - Series Unknown,—,"Oct 15, 2006",0,0,CID9111
Infibeam,Venture - Series Unknown,—,"Feb 2, 2012",0,0,CID9112
VIDTEQ India,Series A,"$360,183","Jun 1, 2011",27013725,324164.7,CID9113
Ruchi Realty,Venture - Series Unknown,—,"Nov 10, 2009",0,0,CID9114
Dataresolve Technologies,Angel,—,"Jan 6, 2011",0,0,CID9115
GKC Projects,Private Equity,"₹600,000,000","Dec 23, 2009",600000000,7200000,CID9116
A LITTLE WORLD,Series B,"$6,410,000","Sep 9, 2008",480750000,5769000,CID9117
HPL Additives,Private Equity,"$10,000,000","Nov 1, 2005",750000000,9000000,CID9118
Mast Kalandar,Series B,—,"Oct 7, 2010",0,0,CID9119
Manthan,Venture - Series Unknown,—,"Jan 4, 2009",0,0,CID9120
Enpocket,Series A,"$700,000","Aug 19, 2002",52500000,630000,CID9121
24 Mantra Organic,Seed,"$1,263,360","Mar 1, 2007",94752000,1137024,CID9122
Unimark Remedies,Funding Round,"$33,299,999","Apr 15, 2011",2497499925,29969999.1,CID9123
LeCroy,Private Equity,—,"Mar 1, 1995",0,0,CID9124
Pratibha Syntex,Private Equity,"₹825,000,000","May 1, 2007",825000000,9900000,CID9125
Growing Opportunity Finance,Seed,"₹117,000,000","Apr 1, 2009",117000000,1404000,CID9126
Crossword Bookstores,Venture - Series Unknown,"₹10,000,000","Jul 1, 2000",10000000,120000,CID9127
TutorVista,Series A,"$2,000,000","Jun 12, 2006",150000000,1800000,CID9128
Valyoo Technologies,Series A,"$4,000,000","Oct 31, 2011",300000000,3600000,CID9129
Favista Real Estate,Venture - Series Unknown,"$2,000,000","Jan 1, 2012",150000000,1800000,CID9130
Under the Mango Tree,Seed,"$75,000","Jun 1, 2010",5625000,67500,CID9131
Chaska,Angel,—,"May 1, 2012",0,0,CID9132
PME Power Solutions,Venture - Series Unknown,—,"Jul 22, 2011",0,0,CID9133
B Natural,Venture - Series Unknown,"₹50,000,000","Dec 1, 2007",50000000,600000,CID9134
Scion Global,Venture - Series Unknown,"$187,000","Oct 15, 2009",14025000,168300,CID9135
LoveLocal (formerly m.Paani),Seed,"$1,000,000","Sep 20, 2011",75000000,900000,CID9136
eYantra Industries,Series A,"$3,100,000","Oct 14, 2008",232500000,2790000,CID9137
Tecpro AshTech,Private Equity,—,"Oct 1, 2007",0,0,CID9138
Loylty Rewardz Management,Venture - Series Unknown,"$4,400,000","Oct 3, 2011",330000000,3960000,CID9139
City Union Bank,Post-IPO Equity,"₹450,000,000","Dec 1, 2006",450000000,5400000,CID9140
DMD Industries,Debt Financing,—,"Mar 1, 2002",0,0,CID9141
CoCubes.com,Angel,—,"May 1, 2009",0,0,CID9142
SVG Media,Secondary Market,"$3,500,000","Sep 1, 2011",262500000,3150000,CID9143
Industree Crafts,Venture - Series Unknown,"$1,000,000","Jul 1, 2011",75000000,900000,CID9144
CUGL,Private Equity,"₹300,000,000","Dec 1, 2006",300000000,3600000,CID9145
Commander Vitrified,Funding Round,—,"Apr 10, 2012",0,0,CID9146
Vijayawada Tollway Private Ltd,Private Equity,—,"Apr 1, 2008",0,0,CID9147
LT Foods,Post-IPO Equity,"$10,000,000","Oct 8, 2009",750000000,9000000,CID9148
KMC Constructions Limited,Private Equity,"$35,000,000","Jan 1, 2007",2625000000,31500000,CID9149
Gujarat NRE Coke,Post-IPO Equity,—,"May 15, 2009",0,0,CID9150
S. R. Creations,Seed,"$60,000","Jan 25, 2008",4500000,54000,CID9151
mobME Solutions,Angel,"$200,000","Jun 1, 2007",15000000,180000,CID9152
Zapaq,Series A,"$6,000,000","Mar 19, 2004",450000000,5400000,CID9153
Fortel,Series A,—,"Mar 21, 2000",0,0,CID9154
Easy Square Feet,Seed,—,"Aug 13, 2009",0,0,CID9155
CARE Hospitals Group,Private Equity,"$105,000,000","Apr 2, 2012",7875000000,94500000,CID9156
NoPaperForms,Angel,"$500,000","Jul 1, 2011",37500000,450000,CID9157
G.E.T. Power,Private Equity,—,"Jan 1, 2005",0,0,CID9158
Maneesh Pharmaceuticals,Venture - Series Unknown,"₹393,000,000","Aug 1, 2006",393000000,4716000,CID9159
Puravankara Ltd,Post-IPO Equity,—,"Apr 1, 2011",0,0,CID9160
TutorVista,Series D,"$50,000,000","Sep 24, 2010",3750000000,45000000,CID9161
